n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.14047526937262947,0.29832821725326025,0.37480030599324415,0.4288469662090069,1.401586590346872e-06,0.12748904422768786,0.2826166762822824,0.35705607994779737,0.18651494217883438,1.4559277264810955e-07,0.14759896052040317,0.3113365151832705,0.38418610141493037,0.414186616768167,1.3908384369286284e-06,0.2872304121797823,0.4252674508920505,0.5359388138395859,0.2660192400686114,1.2964124212541192e-06,1.8598144832937846,1.087261779265071,1.3637501542781891,0.2755754767892456,3.7916322895533784e-06
250,0.10820053391756859,0.2675978809418616,0.3289384956455668,0.6178527909039359,2.323233855607601e-06,0.09423031108186586,0.2519210276534626,0.30696956051352364,0.5350174501657704,9.637490130940008e-07,0.10744892728178553,0.2643004105936615,0.32779403179708066,0.6131285662955477,2.267188509470552e-06,0.27126656235291985,0.3951145004956664,0.5208325665249053,0.41274549866933535,2.2108303469873637e-06,0.6728340897602357,0.6190482799317625,0.820264646172341,0.441108981568759,3.906372933542517e-06
500,0.07356907762445394,0.21461443931994686,0.27123620264347814,0.6794107826186521,1.9588119486279186e-06,0.08721042981924798,0.23284251187310007,0.2953141205889891,0.6738355165574141,7.940869878623122e-07,0.07925176478725054,0.21337399961698747,0.2815168996476953,0.6327886766398875,1.4878526560362792e-06,0.22731891664979795,0.3578509632159753,0.4767797359890602,0.4397935723674379,2.1649415900990733e-06,0.35194156398419363,0.4469780901250252,0.5932466299813204,0.46097681151005687,2.9758095546873318e-06
750,0.0536863486402862,0.17897963511599668,0.2317031476702166,0.7819939398676359,2.5291112190977177e-06,0.07499996730407296,0.2149046932122353,0.27386121905825395,0.7004800537699742,1.1281903002302854e-06,0.05702886010900508,0.17637443695599056,0.23880716092488743,0.7543120435315882,1.90890692982108e-06,0.16494231636636067,0.3215464420811385,0.4061309103803362,0.6121945334373513,3.02580008389172e-06,0.21690312695220432,0.3594654472359516,0.4657285979540062,0.6424902343988554,3.781657479218638e-06
1000,0.06407241707483712,0.20299616327792,0.2531252991599953,0.7346909895341125,2.3148834637678586e-06,0.07405976354647675,0.21220964287453017,0.2721392355881025,0.6766445225534066,1.2822190247405715e-06,0.0662652495925129,0.19736357582669456,0.2574203752474013,0.7060447868615815,1.8278934701823248e-06,0.13670897476278387,0.29997304563521293,0.36974176767412126,0.5995323753156466,2.5952236708042165e-06,0.1636398865598548,0.3277950149564213,0.40452427190448637,0.6198488875781946,3.0797366676574327e-06
1500,0.05334233829197492,0.1809393452829937,0.23095960316032524,0.8090774355119387,2.9985486187502752e-06,0.06197086226511015,0.19369442904294487,0.24893947510411069,0.7424884612803753,1.5626464781597768e-06,0.05650460175045188,0.18885586316198527,0.2377069661378309,0.7638050904535056,2.3469591835834443e-06,0.11123013661675527,0.2628955838291345,0.3335118238035276,0.7040605416837852,3.1904966381364757e-06,0.12241413937052813,0.27358498819544624,0.3498773204575114,0.7251990765288057,3.574251611119536e-06
2000,0.0492480785461457,0.1676377234440296,0.22191908107719285,0.8128405851937434,2.8561808385567044e-06,0.04665612865265008,0.16327816782365737,0.21600029780685506,0.8222629305661536,1.882029244470827e-06,0.04935302136751083,0.16337807430491968,0.22215539914103108,0.7911327788135708,2.2160590937533447e-06,0.08425070756639172,0.22358040770772603,0.2902597243270098,0.751034684347924,3.178655719102687e-06,0.08986656897665159,0.233167098635353,0.299777532474753,0.7654149980036944,3.457821691034316e-06
2500,0.037029980995008434,0.15272663289241015,0.19243175672172314,0.8506366595526785,2.7456604877694004e-06,0.0382555309586374,0.15665466467079917,0.19559021181704722,0.8509269195183499,2.1953926353661307e-06,0.04704079398901983,0.171511317179046,0.2168888978002789,0.8045323602653802,2.104176070446044e-06,0.06637225444178867,0.1972592883960447,0.2576281320853541,0.7774783013299481,3.028267985659444e-06,0.06598244647894776,0.19552013549251798,0.25687048580743516,0.7950625606376579,3.246017820230481e-06
3000,0.03323353211367327,0.14429758408015517,0.18230066405165196,0.8759944637371287,3.13230984908918e-06,0.04126511591357411,0.15853844509916365,0.20313816951418587,0.84245010229207,2.0549317902890436e-06,0.04295961419785281,0.1620696781776047,0.20726701184185778,0.8214134541564777,2.3208703294233512e-06,0.05461209568974857,0.18555207537070953,0.23369230986437822,0.8273868386017353,3.327043822339133e-06,0.05401626707698693,0.18140706355458888,0.23241399931369652,0.841242225135111,3.5078433764942796e-06
3500,0.02820996460193858,0.1313441944195304,0.16795822278750921,0.9007808988766602,3.363095886663742e-06,0.03146712715951702,0.13941378695912596,0.177389760582501,0.8756899604101092,2.475589903003558e-06,0.039681346826953845,0.1526195859619878,0.1992017741561401,0.8370914417928217,2.584134009520868e-06,0.042702811617267515,0.16345222378457708,0.20664658627053947,0.880671962463175,3.7102688407188035e-06,0.04348508866450486,0.16179717317898956,0.20853078589144783,0.8896709777992223,3.87971559049403e-06
