n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.1517713044058636,0.2991632499917022,0.3895783674767679,0.3934835545408037,1.3115505853230087e-06,0.120000605861252,0.2753795413289643,0.346411035998064,0.3130079664952327,4.4162253848809575e-07,0.12592615101125812,0.28034538320256086,0.35486074876105717,0.45334935822741407,1.3632449290678109e-06,0.2752448650388533,0.409481453844042,0.5246378417907475,0.2053060060057524,9.169683976733827e-07,1.5863302114542006,1.01016916840324,1.2594960148623737,0.21731822366545517,2.7141499842025858e-06
250,0.08603416982789787,0.2274583524419755,0.29331581925954464,0.6927800286130847,2.5781813851636475e-06,0.09073640907082467,0.23752827984951017,0.3012248480302126,0.5607336153399143,1.0139351413325649e-06,0.08798920830821519,0.23016220380771468,0.2966297495333453,0.7088143440640765,2.798051042731756e-06,0.24074985982676392,0.37604765855886935,0.4906626741731675,0.38826979931923533,1.8824229343075474e-06,0.591453453462871,0.5766217576387549,0.7690601104353749,0.40598598416490106,3.3128336789129277e-06
500,0.053810867508244,0.18431976819430132,0.2319716954894368,0.7719419281166727,2.267373230781793e-06,0.07883162031970098,0.22586668440980726,0.28076969266589474,0.6873856665957975,1.0235622896276581e-06,0.07505135532347489,0.21292444997000298,0.273955024271275,0.6657025024741636,1.8192584084969517e-06,0.1883128030412279,0.35797298680952294,0.4339502310648399,0.5548638082161705,2.7611333929392534e-06,0.30950771429196555,0.4648319486255998,0.5563341750171075,0.5740616818592946,3.779292301021334e-06
750,0.06606886808803858,0.19263038322321288,0.2570386509613653,0.7178623317240511,2.1371814372966203e-06,0.08342669921087825,0.22367939199508916,0.28883680376793786,0.6351303939685525,9.977619014659744e-07,0.0663401459941885,0.19527907807401387,0.2575658090550617,0.7070964530434617,1.627818286066619e-06,0.18317546976381646,0.331691426811895,0.42799003465479946,0.512315261618421,2.3811269117198385e-06,0.23467066430168815,0.37872830706154925,0.4844281828111244,0.5353645614457122,2.9568519291892445e-06
1000,0.0654715344070869,0.2000844415039131,0.25587405966038623,0.7277928486715538,2.2795980402676707e-06,0.07900029936706002,0.22674821094948738,0.28106991900069994,0.6416562590218409,1.2179397300485269e-06,0.05980962572389543,0.195163523804635,0.24456006567691183,0.7393728749468658,1.9468117656565805e-06,0.16332866372408372,0.32016065148093,0.404139411248252,0.5711921804163673,2.6613363523185424e-06,0.1970699695372879,0.3490718317626993,0.44392563514319366,0.5927073283358384,3.157530651483453e-06
1500,0.060519625154087035,0.1869616965019258,0.24600736808902093,0.7753768559529244,2.7872479659565158e-06,0.06532248523251162,0.20037882715106095,0.2555826387541056,0.7200710159696484,1.5300207271606282e-06,0.06104159397359645,0.19491845687015388,0.24706597089359847,0.7420757758939514,2.2428762083475353e-06,0.10289035313102854,0.25706000074120744,0.3207652617273706,0.7083462553832971,3.092419135632967e-06,0.11512044438852326,0.267116155780365,0.33929403824488763,0.7259304734197439,3.473518592241403e-06
2000,0.04552323025138919,0.15873440468988187,0.21336173567767297,0.8287271555702227,2.9410364212071535e-06,0.058564168379112484,0.18242436571053544,0.24200034789047822,0.7582221312853021,1.6587219542812142e-06,0.054834600743018554,0.17082845787033688,0.2341678900767963,0.765949144910784,2.197974331036447e-06,0.08286689761262676,0.22285254536686286,0.2878661105663999,0.7496314768725392,3.1314753416573105e-06,0.09018346975543405,0.23399542240255594,0.3003056272457012,0.7604175466413082,3.4082521219095485e-06
2500,0.05231872227547005,0.16769687713474832,0.22873286225523007,0.7972080038953333,2.7427354568674425e-06,0.05709729343396818,0.1872774675027058,0.23895039952669714,0.7547652314411198,1.8740882699533575e-06,0.053504530985204066,0.18022253394578433,0.23131046449567313,0.7723104210894753,2.224920560096093e-06,0.07914146955276027,0.2244603840302303,0.28132093692571175,0.7441097483746868,2.978399959830733e-06,0.07887146724461477,0.2205757974252604,0.28084064386162977,0.763137906264492,3.19342096447185e-06
3000,0.04066812751973232,0.1541991184983698,0.20166340153764223,0.8506072342026231,3.08374954618602e-06,0.03547026102491511,0.15264858567142825,0.18833550123360998,0.8554151719472722,2.503010850713946e-06,0.04470251540248943,0.1683112916631214,0.21142969375773457,0.8131065658268057,2.339686760219642e-06,0.055687037391705545,0.19083070771494412,0.23598101065913238,0.8330231688157594,3.444741438932591e-06,0.05522308662121779,0.19167071766092017,0.23499592894605173,0.8470752364279932,3.6292793020716702e-06
3500,0.02832772893921029,0.13088218974483623,0.16830843395151143,0.8990899705565657,3.329514014555237e-06,0.03997933202315682,0.15431073971825895,0.19994832338170987,0.8357738573570568,2.343824242081139e-06,0.044719459842854505,0.16095299274995742,0.21146976106019155,0.8183679587825645,2.6289132171282517e-06,0.04278492594613811,0.16363101577945188,0.20684517385266232,0.8736524537541966,3.600196301405832e-06,0.04283838948660253,0.16115019222633492,0.20697436915377354,0.8841580728719268,3.770686153453506e-06
5000,0.028576012033378968,0.13312761649998262,0.1690444084652875,0.8875485796360961,2.9819823611607388e-06,0.02642737067602379,0.13169671451953993,0.1625649737059733,0.8948978987398624,2.7133736405880507e-06,0.04049773889802284,0.15855428874333657,0.20124050014354178,0.8337453639397271,2.3136068965436484e-06,0.04111761654902594,0.15671445444631477,0.20277479268643314,0.8574315036196376,3.244335635691143e-06,0.03919938546416927,0.1520058320525562,0.19798834678881802,0.8678334122173922,3.3391165567567327e-06
7500,0.02234629124813581,0.114143540557792,0.14948675944088097,0.9144522687488937,3.1877340358238813e-06,0.02386005683834184,0.11994985890254806,0.154467008899447,0.9089454501813024,2.641835408246494e-06,0.038208848803439895,0.1443801400367821,0.19547083875463342,0.8435427860922963,2.4036355527146124e-06,0.025872103044925928,0.1289516156968636,0.1608480744209452,0.9108496914113341,3.4382096630885767e-06,0.024137902313003563,0.12393214628924183,0.15536377413349473,0.9179659319729954,3.4867560131122884e-06
