n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.20546655707747116,0.35156406624194486,0.45328419019139765,0.4727960651945525,2.259753749653197e-06,0.12279016477619493,0.2910224161625813,0.3504142759309257,0.31923371273328044,5.625310925201084e-07,0.44658756133498956,0.4932197796057124,0.6682720713414482,0.36242385445914954,2.488476640671212e-06,0.2754256431059941,0.4170837703829377,0.5248101019473559,0.30794061311005605,1.513997478834796e-06,1.7271499503035963,1.0712680191778758,1.3142107708825082,0.32684380334330726,4.3984673852511165e-06
250,0.06081413824284609,0.18282056819814915,0.24660522752538336,0.7351871464446252,2.004824194648662e-06,0.08225788567603597,0.22691219032951254,0.28680635571067103,0.6737454839090049,9.385000440218569e-07,0.19809082797276106,0.3325812009541022,0.44507395786853343,0.5208866765927315,2.5694026943954316e-06,0.250254377769653,0.402732846679035,0.500254313094503,0.40455613439245375,2.0446139292316448e-06,0.6039899336820588,0.622984592986579,0.7771678928533131,0.42997745362579975,3.5902332295833983e-06
500,0.07375778337774812,0.21559847465298093,0.2715838422619212,0.6658360894848568,1.6784209984012307e-06,0.09429532400298123,0.24661315271467502,0.3070754369906216,0.6619048234950885,6.316102981835709e-07,0.16230570770366015,0.3117716874204847,0.40287182540314254,0.49285597490029914,2.0503973385500494e-06,0.23315822274380954,0.36850992707081415,0.482864600839417,0.39751573812290886,1.9040808498714857e-06,0.3431244415204393,0.452038113388836,0.5857682489862687,0.423086161122339,2.619446127229109e-06
750,0.056240775722457066,0.17951608277010586,0.23715137723078283,0.7611588241879242,2.243686403355638e-06,0.08646289979155698,0.2309546699373146,0.29404574438606823,0.5987929228028566,1.0137147993685785e-06,0.1375147759978768,0.2790194990819084,0.3708298477710185,0.606486859207602,2.6645843487649904e-06,0.1757933563068289,0.3265691169563633,0.4192771831459815,0.5275350327566107,2.4331930269466425e-06,0.22803292290852895,0.37110557119864973,0.47752792893037044,0.548851713728779,3.023704375721279e-06
1000,0.07035647514983168,0.20403420449422688,0.2652479503216409,0.716192464439739,2.3499646448765326e-06,0.08024893412435512,0.2273572556335194,0.2832824281955291,0.6324232468854244,1.2062416034956494e-06,0.1420081661625036,0.2975440515326954,0.3768397088451582,0.6164694387013447,2.8064789646651806e-06,0.16513616622451277,0.3321372875646486,0.4063694947021894,0.5660116722901606,2.637198986520387e-06,0.19832475715538148,0.3635094875311334,0.44533667843035507,0.5898424093755043,3.1432237616548047e-06
1500,0.05708005307924514,0.19132581923444533,0.2389143216285812,0.7960666697498289,2.9555798255441447e-06,0.06268852908866936,0.19558216828930425,0.2503767742596532,0.7308088605343872,1.633423439477773e-06,0.10026113333597635,0.24274975925791814,0.31664038487845536,0.738952798566311,3.3642404493275637e-06,0.13037482311753562,0.2841233369158359,0.36107453955871166,0.6811943637815692,3.249009034296122e-06,0.14090467125027226,0.2977900869843186,0.37537270978358594,0.7071162857670368,3.639507852656241e-06
2000,0.04150488782837755,0.16163423927721052,0.20372748422433717,0.8467316358965062,3.056168055201308e-06,0.053473520821587454,0.17514682331178008,0.2312434233045071,0.7924247016639324,1.702908404457529e-06,0.07447134925789652,0.2102960972625555,0.2728943921334708,0.7836855980329179,3.3310168704237235e-06,0.07975748310172322,0.21741654542178598,0.28241367371592196,0.7724895744547687,3.3236929513502367e-06,0.08542509650189017,0.22677848937599404,0.292275720000636,0.7872111661318927,3.617202000686225e-06
2500,0.047063894125811336,0.16420453180986896,0.2169421446510828,0.8112229288513435,2.6669028686325075e-06,0.057426365747001225,0.19166878999971443,0.2396379889479154,0.7563580406720581,1.7862789261137186e-06,0.0720732891886845,0.20442960731374638,0.26846468890467606,0.7696723515761077,3.0972370118625526e-06,0.07746359564611913,0.2204743565415512,0.27832282631167554,0.7516484132442302,3.023651599676409e-06,0.07737641800831073,0.21724980809770328,0.27816616977682734,0.7701978882701861,3.240497346716729e-06
3000,0.034274740628726305,0.14803055723057337,0.18513438532246326,0.8714545451438127,3.1016915692704124e-06,0.048927010268337526,0.1735343630826225,0.22119450777163868,0.8101631408889942,1.8412434373266392e-06,0.05158519744404812,0.17759738978529924,0.2271237491854344,0.8472959917553327,3.514721481407838e-06,0.05559092145095598,0.18715561595779828,0.2357772708531422,0.8330130624750317,3.4414539262662525e-06,0.05571678315127771,0.18911515069830376,0.236044027993249,0.8456079473009054,3.6236915218660812e-06
3500,0.028756793257510984,0.13328267869089228,0.16957828061845356,0.8950929182718113,3.2595651607505355e-06,0.03384030260115837,0.13808195565755113,0.1839573390793593,0.8623961922278991,2.571682632305153e-06,0.037293728244636705,0.14492830420215053,0.19311584151652786,0.886462013350906,3.5861469744133383e-06,0.039538629328392264,0.15173904474151392,0.1988432280174315,0.8788343815299537,3.5524175618139365e-06,0.03952957954717471,0.1494935958092662,0.1988204706441837,0.8885149615217022,3.7159345859780015e-06
