n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.12272073701670949,0.274967814706534,0.3503151966682426,0.47673487699622713,1.4674756882012536e-06,0.11161879422424588,0.2681966856439986,0.33409399010494917,0.3923614005657193,5.549110925414806e-07,0.26577975900103745,0.38945695560045335,0.5155383196242909,0.23360583003635046,1.0433653053948697e-06,1.5057658664461488,0.9891916970188596,1.2270965187979912,0.246323447447473,3.0226098429882435e-06
250,0.07665460703570313,0.21403935634297394,0.27686568410639684,0.6686570830029142,1.970763605587145e-06,0.09477393831319907,0.2460772023035646,0.30785376124582114,0.6287111316987508,6.456729238561244e-07,0.2925268916062197,0.4199918269424996,0.5408575520469504,0.3634772079688439,1.953203285763565e-06,0.7233002889019161,0.6518708749381613,0.8504706278890036,0.3853161893465606,3.4446606912712712e-06
500,0.07281893299042239,0.220556037018774,0.2698498341493327,0.6924261243204559,2.1219454186591837e-06,0.09061958960800863,0.24104903591236196,0.3010308781637004,0.582687043231005,8.621950174392223e-07,0.23848365063487853,0.38303703055709365,0.48834787870418617,0.4810362002121414,2.5429804168460052e-06,0.3879378452904847,0.48385917645630894,0.6228465664114113,0.501114056614128,3.4986176663622546e-06
750,0.0733645501818805,0.20682439949469072,0.2708589119484173,0.7053778555776965,2.328921251656841e-06,0.07816580354441133,0.2169487510450985,0.279581479258572,0.6510896549469659,1.1992544813247637e-06,0.18463911633654656,0.33902397670733914,0.4296965398238,0.5439373721119802,2.640668607320118e-06,0.242981357057716,0.3847385266991304,0.4929313918363447,0.5697348880780781,3.3116345527568864e-06
1000,0.05702969534674373,0.18207347681326466,0.23880890968877969,0.7731147850837351,2.5778224066873857e-06,0.0691659116399304,0.20258635361053826,0.2629941285274833,0.692275044940778,1.5429119418046636e-06,0.13001638301843763,0.27722549738458885,0.3605778459895139,0.6545681315561119,2.9935213917008986e-06,0.1607725486705231,0.30751036944244686,0.40096452295748447,0.673551937093549,3.5443279172153963e-06
1500,0.04441076024192857,0.16396721215835006,0.2107386064344371,0.8190540314381758,2.6135973852884194e-06,0.06551273525745664,0.1987411879700757,0.2559545570163904,0.7606928423292607,1.3033908966691993e-06,0.09233605354554002,0.23586554090019232,0.3038684806713918,0.7052344391354708,2.855995644613749e-06,0.101161270411868,0.24551200154501204,0.3180585958779734,0.7213153267231056,3.194943677797936e-06
2000,0.04442623436003459,0.16103487671416336,0.2107753172457216,0.826568162302127,2.818865638855146e-06,0.060754353022442566,0.19270775882034052,0.24648398126945809,0.7479934982119164,1.598084653723965e-06,0.08716499458162964,0.229840542673953,0.2952371836026581,0.7423257563734836,3.145120314127124e-06,0.09085787067182582,0.2339904600482888,0.30142639345589134,0.7605577847938347,3.423129546202319e-06
2500,0.043233619125261274,0.16489620239946742,0.20792695622564497,0.8335400728322232,2.888642269113423e-06,0.050830806961168,0.17845221676720294,0.22545688492740246,0.8125184995212906,1.7152597636196427e-06,0.07357630433521994,0.20945348125828916,0.27124952411980363,0.7817260350456002,3.2847400165013397e-06,0.07392120526220788,0.2063820149040224,0.27188454399286455,0.7989943640015997,3.5041914417576363e-06
3000,0.039789203194452005,0.1545764407321984,0.1994723118491687,0.8569044015349129,3.159153208545101e-06,0.036470295097196424,0.14173795849060203,0.1909719746381558,0.8512017473711602,2.4574058954883944e-06,0.06345982085734952,0.19966376172870412,0.25191232772008104,0.819820253366144,3.498390847764117e-06,0.06427025138779843,0.19982399597859749,0.253515781338753,0.8318938132150498,3.679137956890618e-06
3500,0.03619515921654407,0.1501494789728688,0.19025025418260044,0.8665878348186348,3.1320031116200775e-06,0.036794973904204005,0.15390336843155805,0.1918201603174286,0.8515002590565776,2.365258416446573e-06,0.044018774982086485,0.1631067325333388,0.2098065179685476,0.8592093460564549,3.412851226710691e-06,0.040630698584307234,0.15643237968128068,0.2015705796596002,0.87669046319442,3.562706655570525e-06
5000,0.026795162464595845,0.1259426586156944,0.1636922797953399,0.8999017693801254,3.2139242918168985e-06,0.02662221200947407,0.12140072547150488,0.16316314537748428,0.8934710123812146,2.8443561267688134e-06,0.034946696371473754,0.14527895220907683,0.18694035511754478,0.883593029543617,3.415858251534773e-06,0.03391887595406343,0.1434418339328228,0.18417077931654474,0.8920717354487708,3.5267377510559464e-06
7500,0.019834871560318476,0.1126545235683174,0.14083632897913265,0.9243703688637135,3.23655732136183e-06,0.02083505495166254,0.11295673112065609,0.14434353103503647,0.9184637656565473,2.8460452113758985e-06,0.017510471799962617,0.1071775569613848,0.13232713931753612,0.9379665655945335,3.4694341575016297e-06,0.016339697682536465,0.1027622977389914,0.12782682692821748,0.9434665364931341,3.5293262256343574e-06
10000,0.01889021326593547,0.10594196742838025,0.13744167223202527,0.9313737099885638,3.394964756044479e-06,0.017402091440124383,0.10505527754221593,0.13191698692785694,0.9360188772782134,3.3826659481728997e-06,0.020074338894863476,0.11221223409017864,0.14168394014447605,0.9339651101102967,3.5879606085057257e-06,0.018229122523228853,0.10553771107940568,0.13501526774120345,0.9408053720018719,3.6244292375236265e-06
15000,0.009962239348393355,0.08038366366326472,0.0998110181713089,0.9615255937948508,3.28150515248579e-06,0.010973147419727958,0.08013445943519336,0.10475279194240103,0.9575281639959443,3.252401328178884e-06,0.009733078079404663,0.07797749769872941,0.09865636360318913,0.963862188911883,3.4532701670852733e-06,0.008431466167593396,0.0726359612038009,0.09182301545687441,0.9686447142985425,3.4653661262521105e-06
20000,0.01306542806924049,0.08845027680937166,0.1143041034663257,0.9495857769156902,3.2689520227241316e-06,0.011878219570805225,0.08582068643450025,0.10898724499135312,0.9539503819329445,3.2333078280014527e-06,0.00984200468080893,0.07934787761655485,0.09920687819304128,0.9630130850766454,3.4192273537761835e-06,0.009054254417761169,0.07533167403432722,0.09515384604818225,0.9659190193649525,3.4248042116062396e-06
