n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.0916653495759273,0.243147399212469,0.30276286029816685,0.5889941264771114,1.6464674570884351e-06,0.10155464152440306,0.2606143735053377,0.31867638997014364,0.4968736822904408,6.434207346792573e-07,0.10239300579118032,0.24853405240178306,0.31998907136210186,0.5683439068924835,1.7687652287873518e-06,0.27770259512081696,0.4044069852846278,0.5269749473369839,0.27241535942152684,1.30375813332611e-06,1.765531434311818,1.0543861531249474,1.3287330184472042,0.2844961283529868,3.823960005178012e-06
250,0.09322820630714534,0.23970406581190687,0.3053329433702583,0.5685657593907585,1.48584340833762e-06,0.09959229154886749,0.251438422365762,0.3155824639438438,0.6196749304893845,5.390358008238728e-07,0.07386798605283275,0.20875140233238287,0.2717866553987387,0.6633858313236212,1.5352561275636688e-06,0.27595449380730386,0.4098648493267328,0.5253137098984795,0.3205296711612802,1.5962824613597606e-06,0.6741901963718021,0.6402123124569808,0.82109085756194,0.33571316758180286,2.8278318351791583e-06
500,0.09921886700623617,0.2574619492330187,0.3149902649388329,0.6233830971657275,2.1931039259857193e-06,0.08801867472305282,0.23612828104146732,0.2966794140533731,0.595351869315318,9.399636103150523e-07,0.08619576973680278,0.240115586265252,0.29359116086286174,0.643690860554877,2.0501039078465276e-06,0.2003132982908933,0.34489608361424445,0.4475637365682047,0.49765173707210003,2.4072384027004274e-06,0.3254874717134087,0.4454321234544971,0.5705150933265558,0.5145358760248799,3.318618832099433e-06
750,0.07373250703615652,0.20745375856871992,0.27153730321294073,0.6823292140974586,2.0166580455893967e-06,0.08657009850543429,0.23196888400964208,0.29422797029758113,0.625501074724003,8.981477900837672e-07,0.06477229301909318,0.19048816158706752,0.25450401375831616,0.7181602499150753,1.6089958018100848e-06,0.19262584258799512,0.34648368909598676,0.4388916068780481,0.4937989459227778,2.318884237607796e-06,0.2474782354127749,0.3916220328040593,0.4974718438392015,0.5154103331848363,2.876208359399147e-06
1000,0.07385266232419999,0.21508474169355737,0.27175846320620817,0.712836892040671,2.4450989506253245e-06,0.07620012672994832,0.22266174975728317,0.2760437043838318,0.6546381739470702,1.3283874106741655e-06,0.07127588210935434,0.21078766247987094,0.26697543353154113,0.689767740732957,1.984550215303823e-06,0.1502093729525606,0.3122293368648463,0.38756853968370625,0.5899879201259745,2.6766171136119475e-06,0.18331363340304366,0.34175484145734486,0.42815141410842456,0.6090980565488403,3.1787038195090957e-06
1500,0.045359402137695425,0.16870775825774842,0.21297746861509886,0.8188767044572475,2.708844044251149e-06,0.05907954335748231,0.18509102777603606,0.24306283828977707,0.7668245305880179,1.5599884492980146e-06,0.05227042787619518,0.18267153045813941,0.22862726844406636,0.77708397432532,2.1548176265106858e-06,0.10641281251879706,0.25352334850908026,0.3262097676630745,0.7000979373016643,3.0706583271438404e-06,0.11595202954145924,0.2608608780333377,0.34051729697837557,0.7216678212780706,3.44255198275501e-06
2000,0.053219939910676556,0.16798293870195424,0.23069447308220575,0.7977598379850803,2.8033857679358675e-06,0.05961179145484156,0.18592227596989433,0.24415526096081067,0.7538413880538525,1.6249744110704547e-06,0.05443131675722711,0.17400690684568482,0.23330520087907836,0.7667094547542743,2.129286825152485e-06,0.08546578546984669,0.21914329577912686,0.2923453188779439,0.739487458119218,3.076318425579082e-06,0.09304475486561768,0.23132709409879817,0.3050323833064576,0.7498721350922276,3.3479229992339643e-06
2500,0.04621503650722305,0.16795394012575104,0.21497682783784638,0.8181103080569094,2.7620564879308367e-06,0.06018299285115135,0.19418738277455622,0.24532222249757837,0.7413858119390803,1.7363406581405201e-06,0.04918039517955045,0.17513249157824984,0.22176653304669408,0.7928520446035165,2.32037527506373e-06,0.07566346604348245,0.2183425767224343,0.27506992936975583,0.7543996308416226,3.0091390090111796e-06,0.07504725217593985,0.21440627227513534,0.27394753544417927,0.7738455526076686,3.2264594609528696e-06
3000,0.035849711941327,0.1477257943191757,0.18934020159841122,0.8663570703921726,3.1006159280908695e-06,0.03362877331885895,0.14587209996475453,0.18338149666435527,0.865875945209665,2.433099468509791e-06,0.04720243956150015,0.17047841319172613,0.21726122424744862,0.8017127599631125,2.3316588991614916e-06,0.05361165682460352,0.1869093438607185,0.2315419115939996,0.8369355161284693,3.431824545193928e-06,0.05282197779941722,0.18604561768499395,0.22983032393358632,0.8515204904694559,3.617480784253607e-06
3500,0.033454362706010314,0.1402404326780836,0.1829053381014625,0.8775131485688785,3.1882556796520467e-06,0.03798152632767487,0.1539006136100301,0.19488849716613565,0.8470068352869327,2.3095066451256217e-06,0.04733354628428038,0.16752171875745442,0.2175627410295255,0.8050379605313875,2.518974687737096e-06,0.04155856547804602,0.16196641997480105,0.20385918050960083,0.8749023887309433,3.5713879390105483e-06,0.041475054519645255,0.16041369836395933,0.20365425239764884,0.8853714328259583,3.739726881248042e-06
5000,0.025491436371866367,0.12741200272390868,0.15966037821534299,0.8982552739968295,2.8747525375508743e-06,0.038286726899132664,0.15342152412793197,0.19566994378067537,0.8669198153487957,2.0235178657525465e-06,0.04003576512128854,0.1524598216261346,0.2000893928255282,0.8368743754757942,2.284496936055579e-06,0.03221494854376468,0.14111633836532003,0.17948523210494138,0.8813477548201316,3.1865257897426774e-06,0.029688222878572704,0.13424336177042687,0.1723027071133031,0.8928892118794034,3.2787110101500023e-06
7500,0.018799862464286273,0.10609860890105419,0.13711259046596075,0.927361710938985,3.1937669898780973e-06,0.02221805489552977,0.11488739153472886,0.14905722020596576,0.9152274877750172,3.202350539175922e-06,0.03836114987945551,0.1445629321202106,0.1958600262418432,0.8432766451098335,2.3753943350711207e-06,0.025162960668710096,0.1271686820827669,0.15862837283635642,0.9126162197007059,3.4285112925362284e-06,0.023208840496547697,0.12083035006453445,0.1523444797048705,0.9203823721280211,3.476734670111481e-06
