n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.10902536860724646,0.26301479091447877,0.33018989779708047,0.515873448624725,1.4906968475825732e-06,0.1125067220197601,0.2704707840546984,0.33542021707070685,0.4559770629612084,3.3646576920462103e-07,0.48177027130499567,0.5230860389580101,0.6940967305102335,0.33076975100722467,2.3220589012656686e-06,0.3106371072712948,0.4449194303454393,0.5573482818411615,0.2018804256009415,9.838397075701217e-07,1.855886017006503,1.1140712945687081,1.3623090754327754,0.2141036426436632,2.89324398006801e-06
250,0.08572374830613566,0.2280952517321643,0.2927861818907027,0.6333719912864496,1.9172937633539435e-06,0.10394433342574622,0.2573947957389113,0.3224039910201892,0.5653702356082855,4.727699980757094e-07,0.29353943060613075,0.40055819824152955,0.5417927930548087,0.38983096276056906,2.147205508255933e-06,0.3327504297542518,0.4416877208357029,0.5768452389976464,0.2834646786275793,1.5474742095263456e-06,0.8005774377166207,0.664620670991501,0.8947499302691343,0.30301388386767053,2.7487268636400627e-06
500,0.07711511544096245,0.2185647495554037,0.2776960846698463,0.6932920742157933,2.317297523809281e-06,0.10157144613711536,0.24962912974073542,0.3187027551451593,0.4796196725552736,8.142172388960761e-07,0.17798946866450396,0.3181366708818491,0.4218879811804361,0.5914303599056752,2.9745811744493073e-06,0.22323588790550353,0.36672248438379657,0.4724784523187312,0.5006616822211027,2.5959895512238036e-06,0.36075981587746175,0.4714732416813463,0.600632846152674,0.5233079612875952,3.577868775717406e-06
750,0.07475599016063336,0.20472329998526642,0.2734154168305682,0.6695239175663217,1.867797630841156e-06,0.09877260772519178,0.24854337987531597,0.3142810966717403,0.534944776591148,6.56031889074583e-07,0.15836544996165178,0.3107860210146884,0.397951567356697,0.5430785057837294,2.385890808189496e-06,0.1962641828080375,0.34668174102505633,0.44301713602076104,0.4810807527936695,2.2528549369338035e-06,0.24887168548952676,0.3894387577434823,0.49887040951486267,0.5043887240224126,2.7945541559586767e-06
1000,0.056720544816487965,0.19297249942103806,0.23816075414830204,0.7632820101940386,2.3541693631311493e-06,0.08117676739418007,0.22991464242377616,0.28491536882762236,0.6318732691787029,1.1374161869252998e-06,0.1347826015054818,0.2879090585967695,0.3671275003394349,0.610535958035509,2.6643209711070014e-06,0.16096463830817068,0.32340023100439536,0.4012039859076311,0.5695663338746682,2.6238517093090053e-06,0.19140825573382672,0.3543064505929929,0.43750229226122545,0.5926402411768521,3.107567412807553e-06
1500,0.05574801622242172,0.18191911503243177,0.23611017814237004,0.805537202969433,3.0450241226593085e-06,0.07788100390796218,0.21530747194184122,0.27907168238279245,0.6608999710146697,1.155076208879652e-06,0.10265960757964768,0.2467191893666491,0.32040538007288155,0.7408686276206736,3.426719130760138e-06,0.13030055700611579,0.2831009186492268,0.3609716844935566,0.6851522925545518,3.286112311800811e-06,0.14360019777677538,0.2978855623252892,0.37894616738631276,0.7081615261925164,3.6834192893972662e-06
2000,0.050529559056021196,0.16869820498444624,0.2247878089577395,0.8090885878757117,2.8596262091619906e-06,0.06199780910827283,0.19041582013312808,0.24899359250445147,0.7546290006624563,1.4783112969398345e-06,0.07742694916483568,0.20844031802268903,0.27825698403604476,0.7716362513191268,3.258767737897474e-06,0.08629329380342131,0.22560289390331376,0.29375720213029893,0.7430419644195324,3.1341568163466512e-06,0.0933426488840955,0.23323187451228752,0.3055202920987336,0.7547483138361705,3.4071020305015857e-06
2500,0.0418663855489211,0.16196967495572176,0.2046127697601523,0.8299539511621838,2.6570196756459122e-06,0.05842770306884602,0.18960128755893657,0.24171823073331894,0.7682747349456852,1.5866459586970556e-06,0.05844412799534407,0.18782680480259817,0.24175220370318048,0.7949647997467394,2.9936466128098475e-06,0.06554727975467682,0.1978028928901321,0.256022029822976,0.7767562245380277,2.9921661886903218e-06,0.06541398204390152,0.19649938446642937,0.2557615726490231,0.7933641403414584,3.2070469346753963e-06
3000,0.03367816837232862,0.1444830772027436,0.1835161256465726,0.8753605104909722,3.1524852494148505e-06,0.04172461746683815,0.16311406537105183,0.20426604580017246,0.8372429527557869,2.0820133751741073e-06,0.04063564922750726,0.1573360577445245,0.2015828594586039,0.870185664680218,3.4510887610009267e-06,0.04628436087745819,0.17111032824351802,0.21513800426112117,0.8555818395848914,3.446886482658145e-06,0.045960050326259695,0.16981806368395821,0.21438295250849518,0.8679824051623458,3.630067600248507e-06
3500,0.02984335479141458,0.12958583728018033,0.17275229315819393,0.895877687305535,3.363619896400236e-06,0.04291169839681355,0.16159392163068909,0.20715139004316035,0.8291185074336269,2.0923652018094064e-06,0.04104101682197749,0.15077763371147504,0.2025858258170534,0.884261156908685,3.705108951083609e-06,0.04222767334796297,0.16124487101359064,0.2054937306780014,0.8785791872385819,3.658518619397118e-06,0.042805430285843056,0.15923969888350265,0.20689473237819048,0.8877530705378961,3.826184139972202e-06
