n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation
100,0.15956144046712792,0.3201922336139731,0.39945142441494425,0.34388768946926423,0.21274906569192029,0.37395141616501093,0.46124729342503495,0.15626063091332912
250,0.13173179136431246,0.28582492449732244,0.36294874481710565,0.5058019697508677,0.25937559101854807,0.40576467088532436,0.5092892999254433,0.2577781038164677
500,0.08647566766857225,0.2229357786886619,0.29406745428314957,0.6759699723070838,0.28056983226622856,0.4061855499993291,0.5296884294245331,0.32402685664731257
750,0.06736469587931748,0.20090796257806331,0.25954709761297173,0.7180981829273664,0.25675487928728885,0.3960534090117461,0.5067098571049204,0.378525004929123
1000,0.06457613417095957,0.20062748004020983,0.25411834678149386,0.7515272603828432,0.2620376223052977,0.4034058377072344,0.5118961049913329,0.4206728806504649
1500,0.0931688772906258,0.23341801372636795,0.3052357732812879,0.6645792374650179,0.23721041616665767,0.38330707813573917,0.48704251987548036,0.4607991560193687
2000,0.06379096140156448,0.1907564079098626,0.2525687260956203,0.7730974230560774,0.18955871425266077,0.3430246245173663,0.4353834106309757,0.5676557583056451
2500,0.056429108573849966,0.18360896466427987,0.23754811843887538,0.766733547447117,0.17138749678655932,0.3243431817069944,0.4139897302911744,0.5693867703922144
3000,0.052076542734952054,0.17697395181617784,0.2282028543532093,0.7940553847337082,0.14014295950171263,0.2974832230192953,0.3743567276031147,0.6263331138859267
3500,0.04946448924755563,0.1669803193515159,0.22240613581364077,0.8057869685954503,0.12857469068170588,0.2839225886573201,0.35857313156691745,0.6511133728820507
