n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.15375617202503258,0.29596257107260054,0.3921175487338364,0.5697980613421526,9.151994759767832e-07,0.2408034390864999,0.39827134556095756,0.49071727001044085,0.23443438023184052,3.4820806264081153e-07,2.55651493023198,1.2535654031108796,1.5989105447872873,0.2615067272929713,1.5051130437075582e-06
250,0.06462478142402418,0.2018240747506285,0.25421404647270024,0.718059580049708,7.36848541501517e-07,0.26094414392806525,0.3915972595950287,0.5108269216946825,0.38757086205879665,7.105875596684012e-07,0.948967388673503,0.7480374161984336,0.9741495720234665,0.41917489314073036,1.5580439393126955e-06
500,0.10357693538429978,0.24831180390935126,0.32183370765707525,0.5860258146042607,7.029627213167007e-07,0.2853188477193394,0.43104036783634964,0.5341524573746146,0.3458673170302414,6.466345532803045e-07,0.5780008728285791,0.6047896368178429,0.7602636863803105,0.36689214194779407,1.0392371624705394e-06
750,0.0701591164529193,0.20242039999313924,0.26487566225102543,0.7434471949873939,9.742267965820107e-07,0.1958465813353368,0.3491676923839848,0.4425455697838775,0.5563913036695521,1.0179885891589153e-06,0.32397995424059295,0.44755048595146013,0.5691923701531785,0.5868859369318089,1.4294814707019387e-06
1000,0.05747866058461486,0.18371625838419753,0.2397470762795969,0.7649889407265941,8.868726738141178e-07,0.18515359927201747,0.3385130101090212,0.4302947818321964,0.5095429896765649,8.531605695610286e-07,0.23995126569366282,0.37770428444616416,0.48984820678824864,0.5522696185458875,1.1251376749893706e-06
1500,0.06325659814558811,0.19648416096544766,0.2515086442760728,0.7492291761156785,9.056937919725852e-07,0.15974649750696807,0.3033903039771422,0.39968299626950365,0.618358413570656,1.0852244181107208e-06,0.19054077365903396,0.32982831538214347,0.43650976353231086,0.6477781594319973,1.2905425033505343e-06
2000,0.053241585204677574,0.18060412029154088,0.23074138164767405,0.7882733984813366,9.485057977590307e-07,0.12329174927671825,0.27901557580208847,0.35112924867734707,0.6662030024689606,1.0791159049563064e-06,0.1310932020482517,0.28262649465295264,0.36206795225240757,0.7005157200209999,1.2358707149301675e-06
2500,0.051533964617918405,0.1694622329308775,0.22701093501837838,0.794465913981822,9.521970649717238e-07,0.11181290278532878,0.2578028921601101,0.33438436384694903,0.6913308336069507,1.1027470164730121e-06,0.1143428517271346,0.260283952861464,0.3381461987471316,0.7206480141519256,1.2218272357591602e-06
3000,0.05392127955909763,0.1683529015116173,0.23220955957733014,0.7929570442719435,9.927427153666453e-07,0.0810362679119793,0.22064676297788577,0.2846686985110574,0.7405212111807716,1.0713715583762973e-06,0.080629237224767,0.21456780096267083,0.28395287852875695,0.7638336729823895,1.163358388877819e-06
3500,0.04274132435600932,0.15763160823981617,0.20673975030460234,0.8451764054873784,1.1138859966552137e-06,0.0757637245656173,0.21742997084748703,0.27525211091945745,0.7890720826116949,1.2290726933396585e-06,0.07438615633539132,0.21342569286459104,0.27273825609069097,0.812783056182552,1.320503099599917e-06
5000,0.05209343410904269,0.17586850142127208,0.2282398609118107,0.8033450356782103,1.0226714750190641e-06,0.06377331534376365,0.19632789787863608,0.25253379049894226,0.7960719360775563,1.1457985586901819e-06,0.0568025619759351,0.18223263936484554,0.23833288060176486,0.8234155995107538,1.1998362136184614e-06
7500,0.02728922241305992,0.12458097785339357,0.16519449873727612,0.8939021946648731,1.1034564105103443e-06,0.0361763544409152,0.15032313115100285,0.19020082660418489,0.8792022899722275,1.2184801207451691e-06,0.03265937691461416,0.14123237642698666,0.1807190552061795,0.8932939344467771,1.248992042078222e-06
10000,0.021422633712842473,0.11167386474105219,0.14636472837689576,0.916320130621441,1.1232387132119885e-06,0.029511239578266138,0.1322575038475879,0.1717883569345319,0.8980572008133761,1.2168666438700034e-06,0.025392057236461287,0.12183769610656224,0.1593488538912699,0.9122850133531517,1.2332228383688574e-06
15000,0.01801698676471514,0.10351622308959377,0.13422736965580134,0.9300776501377032,1.149556620287007e-06,0.02068590046288592,0.11334767914706295,0.14382593807406896,0.9265528136680279,1.2301729501987417e-06,0.018623918087688845,0.1073903106096506,0.1364694767619809,0.9336796527729647,1.2361361513401624e-06
20000,0.017681035011180814,0.09969317784213924,0.1329700530615101,0.9309365370243059,1.1396254022549926e-06,0.01875785414933176,0.10787316916982449,0.13695931567196062,0.9317658047216909,1.2181652296705232e-06,0.0163458070743752,0.09930562589755375,0.12785072183752114,0.9396679560797799,1.2158883246800792e-06
