n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.4585608557823644,0.4915324507310369,0.6771712160025443,0.3908490474360462,6.906979007100097e-07,0.15818352694298282,0.32705594467439025,0.3977229273539342,0.40199444328966377,3.5407829140655337e-07,0.23889950017419387,0.3947036410957535,0.48877346508806496,0.1915678454915648,1.8717567514568805e-07,2.7598451422128605,1.2550820242575433,1.6612781652128161,0.2178323587174714,8.965101256464224e-07
250,0.36377827046374644,0.43443657718261847,0.6031403406038651,0.5248113980784977,8.99028734046203e-07,0.07426631565281319,0.2129051582459913,0.27251846846188826,0.7000861289541443,5.724510323320581e-07,0.27874713792006883,0.42336850117468733,0.5279650915733622,0.33328437710829945,4.2143198170638124e-07,1.1810864841615978,0.8578857205743675,1.0867780289284459,0.37801203061955324,1.0700473098632728e-06
500,0.29992575501757457,0.40508738564132873,0.5476547772251918,0.4948851031826517,7.50651035147383e-07,0.07430193349096555,0.2155876685881903,0.2725838100309069,0.7291464748556273,6.643524017140058e-07,0.2731500561707569,0.41193939909772925,0.5226375954433022,0.38975101434680753,5.119000373498489e-07,0.5904672554281265,0.5876296439831425,0.7684186719673894,0.4371647273878385,9.030214081693127e-07
750,0.24076696450187846,0.36911898603727,0.4906801040411955,0.5077873309354584,6.905447334704062e-07,0.07273785935884787,0.21571292484439644,0.2696995724113182,0.6869240663129468,5.07029744535511e-07,0.23666045044960313,0.38450997178603735,0.4864775950129699,0.42495108829748185,5.270627806085828e-07,0.3650039336507916,0.4689734105761953,0.6041555541835162,0.47436262007889446,7.855692347413342e-07
1000,0.17524684906405022,0.3086333706494318,0.41862495036016456,0.5679836044525175,6.858362876205192e-07,0.07234287719865165,0.20063779878065036,0.2689663123862385,0.6977295642084511,5.430086619505848e-07,0.2317259436909226,0.3798663689963245,0.4813792098656968,0.45880749889402306,5.811559950702053e-07,0.28600653558543027,0.4183048085435388,0.5347957886758554,0.5174296048268757,7.796270351431286e-07
1500,0.14905467371285333,0.29325973984840886,0.38607599473789267,0.6382860629034134,7.687065442532964e-07,0.06028949675267692,0.19031140872816407,0.24553919595998705,0.7581159475440454,6.238112688512603e-07,0.15977104599626904,0.3084578933251483,0.3997137050393307,0.5913100985691535,6.959856410590757e-07,0.18515562324655144,0.3233907514587272,0.4302971336722468,0.6368785948302709,8.593319428581831e-07
2000,0.1478881804394665,0.28683238709046,0.38456232321883344,0.6751487227688896,8.506484281650556e-07,0.05171230332582166,0.17695380083245632,0.22740339339117538,0.7968806008324788,6.730979945610071e-07,0.15339335644731436,0.3089597943718221,0.39165463925161714,0.634260937253522,7.720318693745564e-07,0.160535581789743,0.3116783272232121,0.4006689179231938,0.6815364582774613,9.019777415795709e-07
2500,0.10113299820212772,0.24505134268820306,0.31801414780183557,0.6886463066869737,7.133696090042256e-07,0.053438281547201906,0.17853942037648748,0.23116721555445943,0.7830448029011167,6.319206071214336e-07,0.11498236855193483,0.2619853898462731,0.3390905020078487,0.6609010641740106,7.059905233553377e-07,0.11027038311972287,0.25241172562082637,0.33206984674872675,0.7061337083305207,7.965966782108434e-07
3000,0.10043677763055431,0.23609302345691352,0.31691761962780535,0.7483231116576436,8.643191191611203e-07,0.04805684882221526,0.16763672542095154,0.21921872370355425,0.825546378751489,7.53890004320544e-07,0.1029082762694691,0.25093580331529886,0.32079319860226013,0.7385315547186618,8.490484573471088e-07,0.10355114056105888,0.24428638041794054,0.3217936303923042,0.7718338836226879,9.413514139114099e-07
3500,0.07737727696444899,0.21273401779824624,0.27816771373480603,0.7674848673353815,7.997708993921816e-07,0.04795723076027437,0.16518325020298472,0.21899139426076625,0.8116546718578193,6.854436384593786e-07,0.09143994662334551,0.23415238472542765,0.3023903877826567,0.723486161389074,7.554424994606392e-07,0.0780564394090985,0.21669466751438127,0.2793858253546491,0.775332572647078,8.269619573499211e-07
5000,0.05733713344243426,0.1844343835695788,0.23945173510007034,0.8167912473673128,8.148014209716295e-07,0.03709117486912736,0.14343158692729205,0.19259069258177394,0.8605051551492322,7.617028326458509e-07,0.06792293888534806,0.204838009935515,0.2606202963802859,0.8015276233872024,8.434240649889427e-07,0.057587750865778095,0.1860125204170128,0.2399744796135166,0.8387178372958971,8.933349488676462e-07
7500,0.043727095677076305,0.15639921514425373,0.20911024766155364,0.8553696806768362,8.313380141711048e-07,0.031404045864137566,0.13696449941686134,0.1772118671650902,0.8824902830112851,7.847670687883201e-07,0.047646803773347554,0.17040429203995996,0.21828147831034028,0.8525621364801279,8.605108234238047e-07,0.038446912115454264,0.15147238312885689,0.1960788415802538,0.8820203090859817,8.872518932665917e-07
10000,0.0326208338000733,0.14020325163457065,0.18061238551127468,0.8817525693146253,8.048143902907757e-07,0.026156360795483332,0.12519350842045257,0.16172928243049658,0.8979380724558624,7.619932629605536e-07,0.03291071870154058,0.14428083865375993,0.18141311612323013,0.8870437494629972,8.395452989554047e-07,0.025970177593118593,0.12611457903966808,0.1611526530750226,0.9097678059660476,8.520881284173788e-07
15000,0.026100159227429375,0.12563161406575413,0.16155543700980593,0.9070367118384689,8.368422041533552e-07,0.020291459900192422,0.11156013670976028,0.14244809546003914,0.9244691791546171,8.254330814264998e-07,0.02607191663197154,0.1262165638612796,0.1614680049792266,0.9122648351340498,8.69324216170766e-07,0.02081757834799009,0.11229811439990962,0.14428298010503557,0.9292151319099028,8.772208371064273e-07
20000,0.0219026979461532,0.11316007452659613,0.1479956011040639,0.9170412126916859,8.062055108514416e-07,0.02056026031458766,0.10987274110677787,0.1433884943591628,0.919420222058,7.713148909261534e-07,0.01650225669955905,0.10035483208339094,0.12846110967743915,0.9391208117128536,8.438839424163263e-07,0.013420871747276044,0.09008123442753617,0.1158484861673904,0.9499062459998482,8.457459561173624e-07
