n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.10502892526282404,0.25325357222374856,0.32408166449650316,0.5079663745207328,4.821225630621353e-07,0.26131057623815424,0.41038077870246337,0.5111854616850466,0.21604850062466027,3.364044927408024e-07,2.758297259990219,1.2790496338441621,1.6608122289982752,0.23689514089941202,1.4079303893305986e-06
250,0.0996496110340161,0.25709234307026435,0.3156732662643704,0.5633583416379646,5.984395967981249e-07,0.2964306046312254,0.424510611584143,0.5444544100576516,0.2693512711842987,4.832367690871664e-07,1.0062652851339127,0.7889881888184841,1.0031277511533179,0.30233826241854395,1.105501090683855e-06
500,0.09821427736107294,0.23885702597229358,0.3133915719368869,0.5843981684709856,6.528281060846406e-07,0.26845782207371427,0.3988791582997701,0.5181291557842641,0.37272846862983017,6.864270138729352e-07,0.5518938184054638,0.5601190581717923,0.7428955635925307,0.4016917759017786,1.1319413483186646e-06
750,0.09076838773173203,0.2330618356375153,0.30127792440159307,0.5951689739583089,6.095967821794037e-07,0.24672687055921794,0.3834924004762589,0.496716086471153,0.4089608210631821,7.383197797367272e-07,0.3861062178059232,0.4713910937230231,0.6213744586044097,0.433534169307474,1.0340733515251917e-06
1000,0.06482456629518395,0.19674143524093735,0.25460668941562387,0.7406201382083142,8.85403879581185e-07,0.1828393868711022,0.34268916223959417,0.42759722505075054,0.5200671629203283,8.749316848279207e-07,0.23857043208319792,0.3830251625644438,0.48843672270131155,0.5632191890469596,1.1557542147797637e-06
1500,0.05354852710679924,0.1722977304131464,0.2314055468367153,0.7999004562543526,1.0279158275620003e-06,0.13882387430289744,0.294905947808649,0.3725907598195337,0.6558869776832325,1.1194599506649164e-06,0.16613298703651266,0.3165796669583864,0.40759414499783075,0.6847074497641674,1.330030960496628e-06
2000,0.06509785995874502,0.1994676173143266,0.2551428226675111,0.7524660656638316,9.512816047308322e-07,0.1349577172568406,0.2919160317740058,0.3673659173859772,0.6529410102467788,1.0920928165464164e-06,0.14709228037494876,0.29820878968799097,0.38352611433245165,0.6822761299354495,1.2447136890162314e-06
2500,0.04251294209884553,0.15406247259172157,0.20618666809191502,0.8274214792055573,9.629894928700004e-07,0.1059419850036048,0.2547225229890512,0.3254873039053978,0.709993544576618,1.1344781895481128e-06,0.10927651408743606,0.2518392086851196,0.3305699836455755,0.7380247850089635,1.2574353144463104e-06
3000,0.052969852060276275,0.1733485575720208,0.23015180220949014,0.7917553140375171,9.66012210130615e-07,0.08332700395519861,0.22201765520827457,0.2886641715821321,0.7358683710662384,1.072171292546908e-06,0.08222357648487198,0.21606718710630152,0.28674653700589303,0.7602859821679533,1.1617553521764226e-06
3500,0.04081886598825572,0.1483852687585234,0.20203679364971056,0.8507688387247518,1.1130073486747782e-06,0.07241123166639815,0.20998911945921084,0.2690933512118019,0.7971461122132761,1.235202556011694e-06,0.06999351752793556,0.20476928121053903,0.2645628801021329,0.8218000917887384,1.3237014758556103e-06
5000,0.04990490874999644,0.1627798841031916,0.2233940660581575,0.809876273170916,1.0219426208101747e-06,0.06380144030708412,0.1942696138481512,0.25258946990538644,0.7977403608584238,1.1539933462321924e-06,0.05678966466546753,0.1803968770402204,0.23830582171962886,0.8251475308627014,1.2084038902500277e-06
7500,0.03008997391899428,0.12885412254571194,0.17346461863732984,0.8838256231012018,1.099951552198008e-06,0.03498796159920747,0.14522928371628072,0.18705069259216195,0.881014096428785,1.2078531698327924e-06,0.03137298488750024,0.13499691309682998,0.17712420751410643,0.8955461561206265,1.2392072491801259e-06
10000,0.02446432960526071,0.12034575450266947,0.15641077202437403,0.9034690685686008,1.0915108089810512e-06,0.029375939527120636,0.13271694056882313,0.1713941058704197,0.897393417119382,1.2080747984663755e-06,0.025403078664342688,0.12193115144038934,0.15938343284150547,0.9112195737629781,1.2238769471156079e-06
