n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.4295856284290206,0.49777446448331997,0.6554278209147217,0.3257865103663687,2.1382367160698086e-06,0.13456653269320845,0.2971828022634152,0.3668331128636133,0.4699766818586201,1.591024156748644e-06,0.10646175237196831,0.25633652760232967,0.32628477189713945,0.5097821484414894,1.3802254398795548e-06,0.2997691324640608,0.42356149082606476,0.5475117646809617,0.20017301241430432,9.491375505403745e-07,1.7455963392518576,1.0541184777391928,1.3212101798169198,0.21218457636327687,2.7780736221862985e-06
250,0.26048542098779237,0.39940488986218864,0.5103777238357806,0.5156401030212775,2.9601897641796262e-06,0.08496536845273162,0.22555702231331867,0.2914881960778714,0.6460403009055268,2.0347306778986507e-06,0.07961471922288697,0.2250931288131899,0.28216080383867453,0.6303876781230127,1.4672279295681422e-06,0.23372746750259,0.38649860622954796,0.48345368702967817,0.3960576569051329,1.8973505439748118e-06,0.5507744792500916,0.5837817547331172,0.7421418188258169,0.4212898156328036,3.343104293137483e-06
500,0.25588956047754596,0.3777701048753903,0.5058552762179573,0.48642415865479344,2.692415550169443e-06,0.07967156260459064,0.21334966079029305,0.2822615145651115,0.6518075265470659,1.8866318515234813e-06,0.074469550575966,0.21409809024161044,0.27289109654945876,0.6627583091654599,1.4041835733589923e-06,0.23520243491284032,0.37757811083950577,0.4849767364656168,0.4541179136505365,2.3178525546504158e-06,0.3665553967040254,0.46831253153569263,0.6054381857002624,0.4761946810575547,3.174841808673753e-06
750,0.20487459359226556,0.35643613841966637,0.45263074751088833,0.5576707938326818,2.9220812738490862e-06,0.08750253473789261,0.2380450463638602,0.2958082736129817,0.6505457751057754,2.1652728629677816e-06,0.059691994635447915,0.1972973864687929,0.2443194520201941,0.7438122508195794,1.7504149734940445e-06,0.1930010159159483,0.3401606437442874,0.4393188089712849,0.5172004435474195,2.499932320101e-06,0.2626671887415537,0.4101799494677206,0.5125106718318689,0.5334443288257874,3.1253677249119178e-06
1000,0.14364166746745796,0.2868459193144919,0.37900088056290576,0.6639243871402677,3.2554300463262785e-06,0.054553175820422746,0.1814998960307376,0.23356621292563431,0.787058796833779,2.6862761941655296e-06,0.04969734239523296,0.17428607155852302,0.22292900752309683,0.7895944879442728,2.2353135516364226e-06,0.12827173343499856,0.27866479690622825,0.35815043408461555,0.658880376567635,3.0095505984454086e-06,0.15807612478271685,0.308269176323205,0.39758788309343235,0.6786068586364354,3.563077654216743e-06
1500,0.11399146957100265,0.24520239383986134,0.3376262276112486,0.6984004882044669,3.1781249088203775e-06,0.04189027412721506,0.15931200894093966,0.2046711365269052,0.8310190552629876,2.6973430059234e-06,0.04140854160923005,0.15809302653489052,0.2034908882707775,0.8294128704937067,2.298829696864407e-06,0.08683234314117305,0.23220912122257417,0.2946732820280336,0.7260246963378131,2.9583813475858115e-06,0.09173174256711064,0.23797720397637423,0.3028724856554498,0.7489844773168257,3.3125294747541744e-06
2000,0.10822260780056513,0.2581783861519792,0.32897204714164563,0.725782213321027,3.362505491214757e-06,0.046826825905394484,0.16628438867329814,0.2163950690413127,0.8160970492693148,2.763065635138349e-06,0.03994186308630938,0.14713632719692368,0.19985460486641127,0.8355086735942758,2.3732904267136367e-06,0.09452181902127982,0.23539409276703405,0.3074440095713036,0.7214840116161954,3.0716343305521323e-06,0.10072790037570871,0.24410157158555001,0.3173765907809029,0.7361608778262182,3.3429281088121548e-06
2500,0.0734997994734296,0.21056299363455477,0.2711084644075681,0.7848150663750116,3.320502196821265e-06,0.03549411790771895,0.14242555275447638,0.18839882671534594,0.8607225502858254,2.912018044223901e-06,0.03026090623458279,0.13957460595864565,0.17395662170375348,0.8801840246031596,2.5304925040738885e-06,0.06452253193916618,0.1965818154533486,0.25401285782252475,0.8047895202217863,3.3306827320929815e-06,0.06463372001933246,0.1969970591805345,0.25423162670944865,0.8213223027939823,3.550406775223547e-06
3000,0.0661702702428477,0.20271113621000103,0.25723582612623713,0.8041610548094459,3.3693829823863616e-06,0.04468111113349296,0.16742868293459892,0.21137906976210527,0.8347230163585234,3.008725347381632e-06,0.034503167701961816,0.13742899059598807,0.18575028318137718,0.8594605167382107,2.5569568326315045e-06,0.06592434225045983,0.2088307284506155,0.2567573606548794,0.7995334337016208,3.302445766573268e-06,0.0639582107289588,0.20496004226215073,0.252899606027686,0.8168467987259669,3.473135742842665e-06
3500,0.04809338112396725,0.1729672526068358,0.2193020317369797,0.8485419309341011,3.4063452288199834e-06,0.03274603625259378,0.13869362541813662,0.18095865895997842,0.8773433150786943,3.126234384706007e-06,0.02982244331419057,0.13968800197760894,0.1726917580957197,0.8797325607303113,2.7291771795290987e-06,0.04776113486648335,0.1659433279179031,0.21854321052479153,0.8486585530950692,3.3951509172753813e-06,0.043244740720426396,0.15918617631806067,0.2079536985014366,0.8691042440655476,3.544257303910617e-06
5000,0.03665709756370284,0.14843253760986883,0.1914604334156351,0.8807166122163944,3.450828498310336e-06,0.02959750899738919,0.13265944344339645,0.1720392658592485,0.890931296486727,3.2191693953918557e-06,0.026523945564716964,0.11648095274905469,0.1628617375712201,0.8939690487865136,2.865224299482219e-06,0.033244628733597084,0.14372056072163644,0.18233109645257192,0.8892282484043297,3.4335940599271968e-06,0.032493748995782466,0.1423234387639669,0.18026022577313738,0.8968384184022221,3.5448399533352674e-06
7500,0.0260570204279194,0.12729515036226063,0.16142187097143745,0.9132498880155212,3.5099873088772017e-06,0.01790159622320819,0.1087115439820474,0.1337968468358212,0.9323341242768348,3.2936790078494932e-06,0.020275301999254983,0.11059837702469333,0.1423913691178471,0.9201166722751396,3.040167801852116e-06,0.01750598111016419,0.10517399923885205,0.13231017009347465,0.9394367065974008,3.518071195451285e-06,0.015868451577354153,0.10088466689548273,0.12597004238053647,0.9463487177985882,3.5753043582248252e-06
10000,0.027252714575286326,0.1285002101157789,0.1650839621988954,0.9080880722868758,3.470587358310777e-06,0.019209202808381672,0.10587002304732408,0.13859726840158745,0.9323422742665408,3.4632771255326582e-06,0.016256773397728557,0.10002783412341379,0.127502052523591,0.9370192836903275,3.2096885044473488e-06,0.01999972876769262,0.11082321013050507,0.14142039728303912,0.9348501523367388,3.6056102356277757e-06,0.018199575319826078,0.10414434211703877,0.13490580165369492,0.9415145108868127,3.6414425531493303e-06
15000,0.01429391310693635,0.09353470350055566,0.11955715414368288,0.9479193976123782,3.4433507571460432e-06,0.010405940195702236,0.08274305695385414,0.1020095103198826,0.9599425061555209,3.3118892812738635e-06,0.010230436943289796,0.07843826126342186,0.10114562246231815,0.9608417977810587,3.158780222598257e-06,0.00970568788470267,0.07763822686856973,0.09851744964574889,0.9640471496856783,3.459269355883434e-06,0.008411873636542824,0.0718627364575437,0.09171626702250166,0.9687726611951675,3.4698455990994892e-06
20000,0.013726933628255335,0.09435926322212407,0.11716199737225094,0.9476933004474035,3.3201954250878977e-06,0.014135144292400053,0.09192112370587793,0.11889131293917168,0.9456628566949984,3.2767575026325078e-06,0.01280418013663159,0.08976189576117433,0.11315555725032504,0.9505007970520409,3.107070198198078e-06,0.010816701952723199,0.08351693813199272,0.10400337471795422,0.9592863035012126,3.401662624375383e-06,0.009949418755580124,0.07911059436812105,0.09974677315873494,0.9624838722263237,3.40758679570005e-06
