n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.39640434392606627,0.4790574693902632,0.6296064992724156,0.36849342217157055,5.927544651071196e-07,0.09325027969784842,0.24103637191338864,0.30536908765925935,0.5719242637336677,3.804416586126149e-07,0.10874123045974274,0.2682130857902684,0.3297593523461355,0.46044986921635545,2.6383658711954887e-07,0.23046874229781367,0.3956837011964979,0.4800716012198739,0.2021649471269416,1.935480231416213e-07,2.670579663233982,1.2582334416377203,1.6341908282798498,0.2279618498811947,9.250409511169814e-07
250,0.4486787134640805,0.47760341117317573,0.6698348404376115,0.46858819889770315,8.590192982325553e-07,0.16732692906514296,0.2951498234905325,0.4090561441478944,0.5676513067870824,6.661609330032654e-07,0.1801088997610574,0.30290559241423476,0.4243923889056652,0.5157370364313343,5.935200815408716e-07,0.276525167990209,0.4130417933148037,0.5258566040188228,0.3352859448991736,4.224826960419033e-07,1.2327230680659274,0.8728719229110743,1.1102806258176026,0.36557274943550494,1.052154886951904e-06
500,0.3089846462355941,0.4005011426254377,0.5558638738356668,0.5403376323363379,8.630154752895732e-07,0.09707371799837264,0.23027737058147513,0.31156655468514693,0.6728319682052399,6.54281727628195e-07,0.0953018926627228,0.24198319778921606,0.30871004626141146,0.6605116146316794,6.143912121179938e-07,0.25147312899325697,0.4032552265165206,0.5014709652544771,0.4499480664674159,5.939120907424045e-07,0.5730682399938783,0.5903759365083379,0.757012707947415,0.4936589057481605,1.035169765111707e-06
750,0.24277306591266304,0.3759565580017805,0.49272006851016636,0.5162685908965257,7.110956150988619e-07,0.07318829455445496,0.22316248857489782,0.2705333520186651,0.6968234768866012,5.498104671187618e-07,0.07050472906411914,0.2132169623515993,0.2655272661406341,0.695635858221596,5.085027453897216e-07,0.23772663267038832,0.3951827533333588,0.48757218201040586,0.4409821144109942,5.574323437967616e-07,0.37358701999946237,0.48762473394746775,0.6112176535404245,0.4903623547854576,8.311086723232054e-07
1000,0.19305798353315068,0.33267737766788974,0.4393836404933059,0.5598790061420025,7.087133338036025e-07,0.07469295548315295,0.20628522728680118,0.273300119800839,0.6870269933892913,5.329317559298616e-07,0.07124896181765543,0.20176574262269695,0.2669250115999912,0.6946027987086482,5.160086557340869e-07,0.21389701946471315,0.36066013377720696,0.4624900209352772,0.48399022592741503,5.989452145562729e-07,0.27536355472408,0.4007946230788448,0.5247509454246653,0.5364990493902,8.053013369778547e-07
1500,0.14853939624238327,0.29688093170571145,0.385408090525333,0.6399552203553277,7.709740833301875e-07,0.0723938160798349,0.20439796126897802,0.26906098951694,0.7164440367677293,6.078286681589808e-07,0.05738575565936092,0.18119559020956827,0.23955324180515888,0.7623714958667951,5.963454852671788e-07,0.1626796622397976,0.3082561315132194,0.4033356694365099,0.5809895790080565,6.81950856651002e-07,0.19109143774837195,0.32436958702900426,0.4371400665100054,0.6226189983356043,8.40449136488878e-07
2000,0.1354387382817569,0.27813277161067584,0.36802002429454417,0.681918329474039,8.28317754165177e-07,0.05570497944351429,0.18543827261190618,0.23601902347801182,0.7827649056407625,6.670217515311071e-07,0.05482956529497945,0.17687750043806386,0.23415713803977756,0.7825548976306291,6.532609168452325e-07,0.1558425522290484,0.3024869278545183,0.39476898590067633,0.6291889973487028,7.675013849098402e-07,0.1611474720477252,0.30362646831797996,0.401431777575873,0.6774459152943066,8.938013311469146e-07
2500,0.10855635643595975,0.24481853743279228,0.32947891652723355,0.7136077563948378,8.084137888871868e-07,0.05085013793769849,0.17564083345382656,0.22549975152469345,0.7993199883303124,6.711095872310603e-07,0.04428900525692033,0.1670244414014042,0.2104495313772885,0.8228808259457876,6.771877478827557e-07,0.11512918934944232,0.2664954159892605,0.3393069249948228,0.6939676786769413,7.857422760393925e-07,0.11137644891677412,0.26100158243102806,0.333731102711111,0.74033891564495,8.886017605693326e-07
3000,0.10039619778999574,0.23456263036460873,0.31685359046410655,0.7337929611781545,8.25560047150902e-07,0.045505608948528994,0.1690187158631147,0.21332043724999486,0.8312903216444436,7.456077062157077e-07,0.04565120522834568,0.16286765910064996,0.21366142662714224,0.8279600526337529,7.314893235121758e-07,0.09947315834503491,0.2507328436158123,0.31539365615851395,0.7263793050791608,8.019573512187016e-07,0.0973446160153293,0.23819171300468212,0.3120009872024916,0.763986449076568,8.930507923860041e-07
3500,0.07783624084651904,0.21473134959445994,0.27899147092074167,0.7523462438873922,7.581779244508779e-07,0.04415893309290787,0.16157369606560443,0.21014027004100827,0.8283514300181043,7.081642421539229e-07,0.04076163071369465,0.15114653991976246,0.20189509829041083,0.8357799799553071,6.778472290207107e-07,0.09279087107972689,0.2396469252527129,0.3046159402915857,0.718077108113305,7.48038164302505e-07,0.08011036888167683,0.22060299273027692,0.2830377516899059,0.7680654722590092,8.176400854981989e-07
