n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.5802763359993752,0.5569949513315762,0.7617587124538683,0.18063836334045563,3.2253407775170954e-07,0.23306587972890724,0.3921504167795362,0.48276897138166125,0.18371746791291657,1.74049401429514e-07,2.531006916756157,1.2458728569626458,1.590913862142183,0.20469492982507853,8.042808037844209e-07
250,0.4240173880441885,0.48791587343168563,0.6511661754453992,0.42228539096005985,7.302469530240992e-07,0.2532844767030028,0.37884674549632413,0.5032737592036791,0.37820880280791974,4.681303966184824e-07,1.1494500234777247,0.7918907610243094,1.072124070934761,0.4136327572462841,1.1702154301959713e-06
500,0.41100240914455266,0.48855185161073356,0.6410946959260797,0.4185803201629903,7.102556062047449e-07,0.295459618607397,0.41622052378031826,0.5435619731064684,0.37275134548828237,5.064269752339049e-07,0.6131940220196564,0.5916325548439815,0.7830670609977516,0.4231481679807906,8.842408232655894e-07
750,0.32424094754320637,0.43598916026664025,0.5694215903381311,0.4267225353742623,6.398504024044303e-07,0.22118037723794537,0.38084958966315735,0.4702981790714752,0.45234373804942846,5.526707366374081e-07,0.36324021872309875,0.4736698277117337,0.6026941336391941,0.4892662801793894,8.168008472343132e-07
1000,0.29153962576409953,0.41851201780257236,0.5399440950358653,0.4382491699750371,6.244234166213426e-07,0.23608280864959397,0.3892191499075151,0.4858835340383475,0.4348116857806355,5.438469306729554e-07,0.3243217301589702,0.44828503077933224,0.5694925198446159,0.47371822977189115,7.367827548892508e-07
1500,0.19372466914990513,0.3444396445768581,0.44014164668877354,0.5653756520330654,7.215508411790902e-07,0.16055609008957492,0.31105933821759263,0.40069450968234505,0.5586453623777938,6.310291476567054e-07,0.18293559508075988,0.32675407057386263,0.4277097088923279,0.6042143153817052,7.807168609442685e-07
2000,0.16382821362304856,0.3041234669885937,0.40475698094418155,0.644684322171749,8.240918358164979e-07,0.12882125240667602,0.27257229889674794,0.35891677643525666,0.6654238846116385,7.6730644151635e-07,0.1340588910522848,0.2696225482779346,0.3661405345660117,0.7113652492094973,8.958672193585705e-07
2500,0.14833946594050115,0.2976075370087266,0.38514862837676206,0.6677070175783968,8.343701589793406e-07,0.12183853995279953,0.2663850953491521,0.3490537780239594,0.6898576227311642,8.00887952088778e-07,0.1222375689534464,0.2621850496170354,0.34962489750223225,0.7311313333105341,9.054608582454601e-07
3000,0.12449274700154252,0.2680259018138174,0.3528352972727396,0.7285880188709394,9.069428724206437e-07,0.10548219294509957,0.2513765802237583,0.32478022252763417,0.7322864684852202,8.436292427529667e-07,0.10723895480041609,0.2454223041700184,0.32747359405059834,0.764287640374652,9.358926857572814e-07
3500,0.1274704040516006,0.276383627307749,0.35702997640478396,0.6808306844236693,7.990885941412486e-07,0.0924952443461341,0.23926321443402432,0.30413030816762426,0.7272653790124756,7.709025213820215e-07,0.07967072671523445,0.2198348543371585,0.28226003386103826,0.7773142234297754,8.420919986567191e-07
5000,0.08410537043300026,0.2275124343536459,0.29000925921942605,0.7722285470530937,8.51696235470785e-07,0.06330950186609668,0.1984092170246292,0.2516137950631815,0.8130508734417317,8.48639187178218e-07,0.05433850772700065,0.1803148935551312,0.2331062155477641,0.8469650430968935,8.973726142354184e-07
7500,0.0664620641104789,0.20362108231570988,0.25780237413662216,0.8127282071508083,8.694183290167639e-07,0.052116334824246664,0.1827812033073491,0.22829002348820823,0.8401893167756719,8.544320890378429e-07,0.042411929037718094,0.1632283691015921,0.20594156704686428,0.8703676125709435,8.801579880256286e-07
10000,0.04249380586287509,0.16463009939636114,0.2061402577442725,0.8635719880251163,8.525397646571122e-07,0.034793494791017614,0.14978466118423092,0.18653014445664703,0.8800770231878748,8.315039267608867e-07,0.027327800326289682,0.1300562321264371,0.16531122262656484,0.9043815005162547,8.440935120615628e-07
15000,0.03288193847827729,0.14514631303285996,0.18133377644078694,0.897110927071598,8.899531459311557e-07,0.02542342084286016,0.12627169495813315,0.15944723529387445,0.9136813329840558,8.663001804694042e-07,0.020174604445073564,0.1121529428013296,0.14203733468730523,0.9306898642958458,8.736950828869007e-07
20000,0.024225215377357334,0.1234811406111044,0.15564451605295104,0.9137406799749529,8.426394479244285e-07,0.016677394670515475,0.10104151052168799,0.12914098756984738,0.9385567848163437,8.442145682475272e-07,0.013566304408427326,0.09076669054821623,0.11647447964437242,0.9494183957191779,8.460378683134983e-07
