n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.5535695163955613,0.5361844594546916,0.7440225241184311,0.46980795318777513,9.564955561569718e-07,0.20209978095667958,0.362854670767262,0.44955509223751383,0.3089747451050887,2.98863475050459e-07,2.561289832790344,1.225908526842571,1.6004030219886316,0.3424743104127613,1.3977554161977174e-06
250,0.40733507384437145,0.4457676518076409,0.6382280735320027,0.5102630450028754,9.153201685840467e-07,0.25535303062391757,0.38126072858468496,0.5053246784236027,0.37264388247938396,4.612423804189474e-07,1.1522449984343923,0.7968102265650913,1.073426755039389,0.4087352931757311,1.1556990395822712e-06
500,0.2593340257414723,0.38380308542021724,0.5092484911528676,0.45943112648461193,6.231228592471795e-07,0.2624902357361565,0.41278476261036956,0.5123380092635685,0.37017073023604247,4.6547337250425476e-07,0.5422930871563078,0.580078136919589,0.7364055181462913,0.4086387003895649,7.963681155464374e-07
750,0.23567716580817422,0.36854514396391835,0.48546592651613996,0.5423210085115929,7.534107767463208e-07,0.2274946885911981,0.37279161464508986,0.4769640328066657,0.4539310310354434,5.655647106634238e-07,0.3714067882822661,0.4689501956025828,0.6094315287891381,0.493931022808842,8.367405744099088e-07
1000,0.1925284307271094,0.33318077542917435,0.43878061799390067,0.5635280296168906,7.151605075449511e-07,0.22668003592481928,0.374446185153647,0.4761092688919417,0.454740063987359,5.657681860577473e-07,0.30635738266344753,0.43375388388468944,0.5534956031112149,0.4965198454066639,7.626812660127946e-07
1500,0.16037072977204458,0.3030318485864641,0.40046314408699907,0.6055791724804813,7.279640318800104e-07,0.17261097533520603,0.32704999619530506,0.41546477026964157,0.5549851537048949,6.532303421068627e-07,0.19346191659974166,0.3431358057808526,0.439843059056002,0.6092859568114739,8.15775286885409e-07
2000,0.11384170389012874,0.25955763788270303,0.3374043625831307,0.7116996206908639,8.247614413150532e-07,0.147498316310258,0.2984831327168703,0.3840550954098357,0.63336765414278,7.531457534132094e-07,0.1509699074850668,0.3031371014439549,0.3885484622091134,0.6835776697285956,8.798744851680926e-07
2500,0.10299423509810725,0.24370022954202092,0.32092714920696136,0.7218262000984377,8.058362809966422e-07,0.11267770556871558,0.2647818628675617,0.33567499991616234,0.7010524668679355,7.935955895464812e-07,0.11297204415478518,0.2630671362445442,0.336113141895382,0.7414594018600319,8.977600161593603e-07
3000,0.09277683654855647,0.2297162510671498,0.3045929029845516,0.7564317757408142,8.511718947523863e-07,0.09800670273641943,0.25024223076353624,0.31306022221997387,0.7317413054719941,8.093167105914762e-07,0.09549649294172706,0.23940943242615662,0.3090250684681213,0.7703613639375927,9.022799751725484e-07
3500,0.08385718638929099,0.21651609892149046,0.28958105322912786,0.7432514136527139,7.682956373604855e-07,0.09046000535116487,0.23374973506378824,0.3007656984284692,0.7231657879501127,7.494749693137859e-07,0.07766169248823088,0.21281611481395643,0.27867847510748095,0.7726683930419767,8.167705785621414e-07
5000,0.058235933568617414,0.18908318903465793,0.24132122486142285,0.8198549212377348,8.330215526989464e-07,0.06690452016832879,0.20296853855246258,0.25865908097016194,0.8090877645654988,8.607006692461907e-07,0.05808855870816035,0.1855309743238696,0.2410156814569549,0.8421081861515565,9.086704244223051e-07
7500,0.04405628444982309,0.1629556512269846,0.2098958895496124,0.851448376562224,8.182615423416557e-07,0.0485704314971233,0.17684917058058022,0.22038700392065613,0.8500203449912666,8.593871428149821e-07,0.03954814788105394,0.1562769210903568,0.19886716139436883,0.878714168893517,8.85045292940785e-07
10000,0.03315484149696961,0.13968818256694285,0.1820847096737384,0.8820249909601395,8.159152686065344e-07,0.03235866412083822,0.14328863851886767,0.1798851414676549,0.8897267323110755,8.453585334687401e-07,0.02548802062683937,0.12486419178499983,0.15964968094812895,0.9121438282603372,8.579141378569749e-07
15000,0.027871063606558836,0.12727892952574027,0.16694628958607866,0.9001788547557784,8.279186288075019e-07,0.025541416593409808,0.12428840474757287,0.15981682199759137,0.91284047658511,8.632773548663622e-07,0.020802461044011192,0.11164668768820334,0.14423058290116972,0.9283831856674296,8.710365186846636e-07
20000,0.022119403082554476,0.11373267999640052,0.14872593278428103,0.9157152864325396,8.001223283530049e-07,0.017408407780969932,0.10245732490619525,0.13194092534528448,0.935566536724804,8.387902952875763e-07,0.01414377804431976,0.09127272575829447,0.11892761682771484,0.9469842286666191,8.403360754716236e-07
