n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.1382442601232168,0.2925377736224024,0.3718121301453421,0.4035832168122961,4.4275407221537477e-07,0.2665443216401524,0.4156191923627985,0.5162793058414722,0.15112046911049662,2.2446095885039323e-07,2.6130955907363402,1.2795859072663018,1.6165072195125947,0.16798066551907437,9.566144132045965e-07
250,0.09889454932841335,0.2661208265303707,0.3144750376872755,0.5341894841594084,4.953972852067714e-07,0.28572526373229484,0.419416747084197,0.534532752721753,0.3225929044335093,5.914544336745665e-07,1.0131853622266391,0.7938767783473701,1.006571091491624,0.35147107366441205,1.3140735496494237e-06
500,0.06735118842341238,0.1999688103380643,0.2595210751045325,0.7212389746396334,8.240129610033234e-07,0.25670675672145227,0.41803804369493414,0.5066623695533864,0.4034036437211157,7.429192612060797e-07,0.5081642479451435,0.5847190384530458,0.7128564006482255,0.44034685071315866,1.2157670276940544e-06
750,0.06859455958803358,0.2080658702706437,0.2619056310735483,0.6962689652347622,6.932300500490984e-07,0.2306925392183707,0.37865505541451305,0.4803046316853198,0.44133593134098786,7.884295055863235e-07,0.35045920572023403,0.46113648873006347,0.5919959507633764,0.47535998300782223,1.1095300461561648e-06
1000,0.06548344437582344,0.19168079751201883,0.2558973317090732,0.7358287038217473,8.706878521086906e-07,0.17943824333529643,0.33850046605095724,0.4236015147934394,0.5398907000409351,9.196710223521486e-07,0.23647741522591362,0.3806245349034469,0.4862894356511496,0.5771227516407222,1.1943309074963384e-06
1500,0.0600062108283389,0.19109593108899328,0.24496165175051154,0.7810468392174787,1.0248789365679466e-06,0.14499533060195885,0.3016813572511909,0.3807825240238302,0.6434129160084773,1.1056773878818078e-06,0.17361539233651907,0.3243498515145284,0.41667180410548427,0.6753167905341207,1.3254448958611474e-06
2000,0.0660813487772049,0.1992182612384073,0.25706292766014494,0.7511827641559796,9.58682584417807e-07,0.13460633752245207,0.2926547485791724,0.36688736353607504,0.6549991850610589,1.0972350477642251e-06,0.14679071792866263,0.29865767915733504,0.38313276801738405,0.6845125696666845,1.2511409960454493e-06
2500,0.043872640877243525,0.1590362956412978,0.2094579692378486,0.8231493356053932,9.69966002553638e-07,0.10687590545984187,0.25634607598768144,0.32691880560751146,0.7062102034172172,1.1264812112573846e-06,0.10794291693960856,0.2574974397062656,0.32854667391347697,0.7374359053548383,1.2474995890581071e-06
3000,0.04733272890381966,0.1644217354346697,0.21756086252775259,0.8131908238468151,9.87173979028482e-07,0.08335315475858827,0.21840327148794605,0.288709464269165,0.7401410667742299,1.0894827099976009e-06,0.08286746797629324,0.2138634131708547,0.2878671012399528,0.7637708687095087,1.1811162925340537e-06
3500,0.03928649184103229,0.15110255445755527,0.19820820326372038,0.8509413023832088,1.078016396208596e-06,0.07094991088423797,0.2105814857671513,0.26636424475563153,0.7937228563505405,1.2069546321519027e-06,0.06754796039256476,0.2036632246782803,0.25989990456436257,0.818943846341689,1.289126565418668e-06
5000,0.0429566577213678,0.16116582202358865,0.2072598796713146,0.8317621844499445,1.0188300519715597e-06,0.06373535668389903,0.19657479453257407,0.2524586237067354,0.7935155115289159,1.13326683743363e-06,0.057089009665801285,0.1851251200847443,0.23893306524171426,0.8203672863618398,1.1878735218505844e-06
7500,0.02529757230215747,0.11617855888357503,0.15905210562000577,0.9004710080054047,1.0934306862583858e-06,0.03589015133523898,0.1484030122092128,0.18944696179996917,0.8779873992706385,1.2044801337504984e-06,0.03209594817760128,0.13788201393888574,0.17915342078118765,0.8929911331770428,1.2354131017598468e-06
10000,0.02346150758768994,0.11946230498437084,0.15317149730837634,0.9070612562355382,1.08702297656757e-06,0.028921138382751444,0.13177486167839866,0.17006216034953645,0.8992047993065384,1.2118349311057264e-06,0.025046848281561368,0.12127065896756176,0.15826196094311915,0.9127645811980476,1.2280758650618943e-06
15000,0.02008537752141315,0.10725749867772831,0.14172288989931425,0.922463563806168,1.1478997695810773e-06,0.020014857493005214,0.10961339989636748,0.14147387565556127,0.9305517988332639,1.2502631697142872e-06,0.017627126082169726,0.10290638999629018,0.13276718752074898,0.9385083020803395,1.2551275979820637e-06
20000,0.019152382001958006,0.10538111864239216,0.13839213128627656,0.9254101153483292,1.1385454841406867e-06,0.01856649305715684,0.10793264071352146,0.13625891918387156,0.9325571726643588,1.220198015394573e-06,0.01628632890915244,0.09916641925054835,0.12761790199322523,0.940012392253692,1.2180158226881478e-06
