n_observations,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.250537975562167,0.4117578800269871,0.5005376864554426,0.14222491422580275,1.3757057098572825e-07,2.6808748851291924,1.2826006647415695,1.63733774314562,0.16153216188405534,6.468998025606462e-07
250,0.2627108305399856,0.38757337828392935,0.51255324654126,0.2837881405849961,3.288231876338209e-07,1.0336873413077694,0.7801372299128445,1.0167041562361046,0.3227066288261509,8.380388677372628e-07
500,0.2313189785991107,0.3783845784141243,0.48095631672648886,0.46681775547262444,5.954848097412391e-07,0.5074370420045003,0.5563156657108895,0.7123461532180126,0.5147940383171913,1.0301918334328114e-06
750,0.24600087445205424,0.39223515140366977,0.49598475223745964,0.45826920562084733,6.01710381505389e-07,0.408317371437955,0.48153698622762836,0.6389971607432657,0.5028852811157789,8.988255545781599e-07
1000,0.19027982274902475,0.34662632606490734,0.43621075496716577,0.5462115842888852,6.749049134477614e-07,0.2591327647762256,0.3926083934946527,0.5090508469457895,0.5973957947299453,9.164381846506682e-07
1500,0.19381525466104405,0.34711987647138787,0.44024453961525073,0.5230845241169813,6.362663019228243e-07,0.23105630124710697,0.36576245123642404,0.4806831609772772,0.5560420944281925,7.744592956508865e-07
2000,0.14394059340113424,0.29639539297878775,0.3793950360786686,0.603492451579893,6.775389076819037e-07,0.15366506809591357,0.29870666867885315,0.3920013623648693,0.6463251268379031,8.001141344879391e-07
2500,0.1172837837650593,0.26419766152980845,0.34246720100625594,0.6946223435966,7.956072757650459e-07,0.11172212470768456,0.2567380354298068,0.3342485971663674,0.7438906047073158,8.992748421253217e-07
3000,0.09790863064475855,0.24646255197008357,0.3129035484694262,0.7308418604864588,8.064916839166401e-07,0.08690025161148443,0.23164262900996305,0.2947884862261151,0.7851890277898854,9.031889414958851e-07
3500,0.09294268342165411,0.24455039520460933,0.3048650249235785,0.7252163633048127,7.677032355569025e-07,0.08039925849907811,0.22494136052394978,0.28354763003608074,0.775962053259335,8.422507797515332e-07
5000,0.0651479896301295,0.19921933199043187,0.2552410422132959,0.7994468752116265,8.173277179702423e-07,0.05542381061134995,0.1817093029757961,0.23542262128213157,0.8350771881226364,8.638011511859125e-07
7500,0.04528666558512549,0.1674769968793985,0.21280663895923335,0.8586548527406085,8.615589624790927e-07,0.03792762076402004,0.15108119687956487,0.19475014958664355,0.8836334955894463,8.885157910209907e-07
10000,0.03443101543458354,0.1465344410590506,0.18555596308010028,0.8808649770190486,8.301487601583331e-07,0.02784258807716967,0.12994169962807953,0.16686098428682983,0.9036487720122314,8.491159387783193e-07
15000,0.02238933618981954,0.11785509971609312,0.14963066594057364,0.9187284648356715,8.36103386995302e-07,0.017729514744032566,0.10155611772643491,0.13315222395451218,0.9346220369176946,8.403025990760865e-07
20000,0.018220277035843876,0.10425949766428497,0.1349825064067336,0.9351467493878578,8.602873676328141e-07,0.013996719037667454,0.0908446408183952,0.11830773025321488,0.9493103169152022,8.626766281176215e-07
