n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_gridsearch_1_mse,bayesian_gridsearch_1_mae,bayesian_gridsearch_1_rmse,bayesian_gridsearch_1_correlation,bayesian_gridsearch_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.12914276255885737,0.2747421594594039,0.35936438688169614,0.5259315045081793,1.9113017411193915e-06,0.11071971372850588,0.26342117553077415,0.3327457193240897,0.5709787862685102,1.966605620475192e-06,0.2785759041560839,0.42447020201664654,0.5278029027545074,0.23911148197791718,1.1122630186218126e-06,1.6671279012073685,1.0697676206564037,1.2911730717480785,0.2557297193852014,3.3126898932185342e-06
250,0.08071951648799926,0.2229880410744125,0.28411180279601067,0.6375575573339025,1.7366443243617482e-06,0.09866903671999476,0.23075764704652452,0.31411627897960775,0.6225769373296262,2.1732367273960046e-06,0.2511899273053722,0.4141502661682034,0.5011885147380896,0.38308999669206784,1.900705063001163e-06,0.5974908919445973,0.623889635313932,0.7729753501532874,0.4073246823171245,3.343224533096368e-06
500,0.07993105826608983,0.22810372327401612,0.2827208132877554,0.6779585920480644,2.230917085355262e-06,0.09407261367372696,0.241108525037202,0.30671259131918105,0.6803009068738941,2.6359191883269824e-06,0.23272458373572952,0.37554695232613583,0.48241536432386717,0.5130711000227873,2.759738415718786e-06,0.3790426103781802,0.4772975105774123,0.6156643650384357,0.5347422938443369,3.7759369934863205e-06
750,0.06879409158704389,0.1991517439639483,0.2622862779236533,0.7231935567814065,2.380211531743191e-06,0.07165533344485212,0.20078846511505238,0.26768513863278276,0.7215105414972368,2.476018213438621e-06,0.18249165704877612,0.3197824887989819,0.4271904224684539,0.5462351757713042,2.6402741670532495e-06,0.24401588323258758,0.37921856913092244,0.4939796384797531,0.5668946601879712,3.2937147060675294e-06
1000,0.05966306503330001,0.19414946726283702,0.24426024038574107,0.7756619721027596,2.754395397356027e-06,0.07006802336687865,0.2038323448493854,0.26470365197117823,0.7590030632696264,2.90538932757501e-06,0.117733519526858,0.2671041767420522,0.34312318418733817,0.6753935150373367,3.0121701575242784e-06,0.145006339857047,0.29217739664852704,0.38079697984233934,0.6949914414021716,3.570162664020395e-06
1500,0.05144532187163764,0.17603585189287432,0.22681561205445633,0.800691813375384,2.756187434370837e-06,0.056788523052515,0.16762949944289623,0.23830342643888905,0.7865494695068325,2.7940342620689873e-06,0.10864793952440245,0.2583760851188491,0.32961786893978073,0.6804128532085981,2.9144201183148548e-06,0.11951885865318734,0.26711809534793785,0.3457149962804439,0.6992698122707809,3.271170604453049e-06
2000,0.03907870795131632,0.15507656494350583,0.19768335274199575,0.8466440152927418,2.866153914557549e-06,0.04830199477021451,0.1752635995378456,0.21977714797088096,0.8136258554059117,2.8132220662188e-06,0.08820091618015258,0.23460758637105872,0.296986390563865,0.7395501539818664,3.1366685774480608e-06,0.090650903904384,0.2359158775930709,0.30108288543918266,0.760566883979677,3.419158305159549e-06
2500,0.041839142788378685,0.15908581553781664,0.20454618742078445,0.836368249670969,2.8450598423495886e-06,0.04853699771444799,0.17304658649330362,0.22031113842574548,0.8240635560978158,3.02210498626649e-06,0.07375917613691535,0.2092120570977423,0.2715864063919904,0.779679072012167,3.264450032599858e-06,0.0741496195270083,0.20779022501382016,0.2723042774673367,0.7967780765714687,3.4825534282997014e-06
3000,0.03438508710542476,0.14680345839779632,0.1854321630824188,0.8737749589966172,3.168232909706195e-06,0.038262770628447657,0.14861205576655603,0.19560871818108633,0.8614652231818204,3.159086373369336e-06,0.054144990694181834,0.18408893255859685,0.23269076194422036,0.8304615664572865,3.3556288615514113e-06,0.05221090572575114,0.18049013601739972,0.2284970584619223,0.8474022049019391,3.5374982021064636e-06
3500,0.031153434557350982,0.1380032205839948,0.1765033556546475,0.8828120421013205,3.1332994118182366e-06,0.031153434557350982,0.1380032205839948,0.1765033556546475,0.8828120421013205,3.1332994118182366e-06,0.04435429012156352,0.1636639789971699,0.21060458238500776,0.8568061808752853,3.3871071547871266e-06,0.0406598067981098,0.15601664778827537,0.201642770259957,0.8750021769428363,3.5352598531966203e-06
5000,0.02435780195485799,0.12048267832921664,0.15606986241698936,0.9090048302332914,3.2461079438107683e-06,0.02435780195485799,0.12048267832921664,0.15606986241698936,0.9090048302332914,3.2461079438107683e-06,0.02990870511937133,0.13913224274265215,0.1729413343286426,0.8981478510579104,3.4203316324712617e-06,0.028995015477607074,0.13708268559349068,0.17027922796867231,0.9057030139222702,3.5290528091003213e-06
7500,0.019396972703608985,0.10871283005519104,0.1392730149871431,0.9281464752211009,3.3365069376539296e-06,0.01840160986251136,0.10554411794982925,0.13565253356466056,0.9311954516336689,3.3219973274404917e-06,0.01730330583237244,0.1037556715101153,0.1315420306684234,0.9390789817064374,3.4848044293949735e-06,0.015997547980356325,0.09953333935882286,0.12648141357668455,0.9449968373244945,3.544292673915296e-06
10000,0.019067132060327032,0.11029964487658288,0.1380837863774275,0.9311416090229356,3.407503859162029e-06,0.019067132060327032,0.11029964487658288,0.1380837863774275,0.9311416090229356,3.407503859162029e-06,0.019834890680542262,0.1129331060218921,0.1408363968601237,0.9354566389089825,3.608758823909897e-06,0.017847711231687876,0.1056823254601887,0.13359532638415117,0.9427044843607136,3.6454585511686893e-06
15000,0.010029820612571702,0.07951933565818774,0.10014899206967438,0.9612753814004193,3.2863244115945294e-06,0.011927936500772035,0.08803550236403858,0.1092150928249939,0.9539324559588864,3.273943519630641e-06,0.009434984600699673,0.07664310583919516,0.09713384889264748,0.9649424022345486,3.4550738447631523e-06,0.008142111891312875,0.07098968170188805,0.0902336516567565,0.9696610076097041,3.4640890215795606e-06
20000,0.010316206516585217,0.0799128385951721,0.1015687280445375,0.9602988518040648,3.3146771613637323e-06,0.010316206516585217,0.0799128385951721,0.1015687280445375,0.9602988518040648,3.3146771613637323e-06,0.009595376335630637,0.0777879087055857,0.09795599183118221,0.9638018001777271,3.4107934809776044e-06,0.008856160070637685,0.07391142415566468,0.09410717332189765,0.966546658596551,3.4164208151872013e-06
