n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.13114662727837062,0.2861418818372848,0.36214172264235256,0.47251614607965464,5.632240131625197e-07,0.22294949928552935,0.3853407053161206,0.47217528449245344,0.22671492439083843,3.1254351272788077e-07,2.1437077504597757,1.2058007060942624,1.4641406184037706,0.24643115331511314,1.2947350386297405e-06
250,0.09476985883552581,0.2379888755587144,0.307847135499952,0.6205308493264942,7.42578487329903e-07,0.27032362581076097,0.4069499934199725,0.5199265580933147,0.2978061911646391,5.141561018264235e-07,0.975282955097418,0.7652979321530814,0.9875641523958927,0.3259580640443412,1.1839330347408571e-06
500,0.10185447689253214,0.24534376517904408,0.3191464818739698,0.5833293018294531,6.809339095087e-07,0.27570296148380513,0.4115748905345483,0.525074243782539,0.3631887249483207,6.745218924661237e-07,0.5546895745065065,0.5621971045464703,0.7447748481967597,0.3942910673885968,1.1095013871001792e-06
750,0.08612788716494992,0.23074813979408645,0.2934755307771841,0.6204414969543477,6.465309487456552e-07,0.2402742450069608,0.383367571170024,0.49017776878083813,0.40803018138640773,7.234844989435112e-07,0.3664913010560058,0.4658108182621009,0.6053852501143432,0.43767541682022354,1.0182031692439313e-06
1000,0.06326387633093689,0.19373355509124143,0.25152311291596424,0.7475722918077995,8.966727420362093e-07,0.17672174812414634,0.33570510111177204,0.4203828589799379,0.5254434278985995,8.706302156419176e-07,0.2349728541264471,0.37552076123314293,0.48473998610228874,0.5622555355573439,1.1435708187374487e-06
1500,0.05927525324309873,0.18201469100053824,0.2434650965602641,0.7771458083233568,9.931726235590176e-07,0.14467463965563,0.30009292837590656,0.3803611963063924,0.6420075563256684,1.0997432289057473e-06,0.17548638598009333,0.325994152774036,0.4189109523276914,0.6704250867636972,1.3153869591077893e-06
2000,0.06508018566279852,0.1984195546586599,0.2551081842332749,0.7517015432452955,9.471734123543612e-07,0.12503890070837528,0.2783230725177657,0.3536084002231498,0.6646385495911855,1.0828021336270503e-06,0.14022876721640992,0.2880072521679471,0.37447131694751995,0.6891865511407627,1.2385908962943688e-06
2500,0.054509010603910064,0.17786252462784485,0.23347164839421095,0.7853990940689194,9.567359516340371e-07,0.11121199489937728,0.25387763243847683,0.33348462468212425,0.6919225406297794,1.1013492093282592e-06,0.11389586689796577,0.25223919848543735,0.33748461727605567,0.7208912056819154,1.2202390275596857e-06
3000,0.051111097446096265,0.16794396981544948,0.2260776358822258,0.7961170429231822,9.539014933868259e-07,0.08750051187831312,0.22963900465678647,0.29580485438598386,0.7198427504160818,1.0433889405278607e-06,0.08468159687970915,0.22060976310691907,0.29100102556470336,0.7483997791144558,1.1332859627453188e-06
3500,0.03880940217995831,0.15259801656517746,0.19700102075867099,0.8522023028125147,1.0757376980915902e-06,0.07289169703063555,0.20818740775350472,0.2699846236929717,0.7904553783650249,1.2101564848190823e-06,0.07009305896218809,0.20427385576487897,0.264750937603983,0.8149507103586033,1.2938178064756185e-06
5000,0.04466141248741028,0.16591567946905814,0.21133246907990802,0.8280730596344343,1.0339467167758405e-06,0.0658850338852045,0.2017098993837434,0.25668080155166356,0.7941788044542315,1.159540587029861e-06,0.05863952819224869,0.1884496088462282,0.2421559997031845,0.8219766009931292,1.2138252795326167e-06
7500,0.02617007496192484,0.12338195363773466,0.16177167540062395,0.89621400293574,1.0743697704628875e-06,0.03548485651328125,0.14878995514583945,0.18837424588643017,0.8782899767624796,1.198461511890534e-06,0.0316975806223677,0.13874556339034574,0.17803814372871815,0.8930559602124858,1.227476378511467e-06
10000,0.022306336835059882,0.11372046398006,0.14935306101670592,0.912510372754651,1.112054388998878e-06,0.029409797432950243,0.13182360869322804,0.17149284950968144,0.8989439484065576,1.221638319798917e-06,0.025479713531621605,0.12228872560138149,0.15962366219211238,0.9125596660474307,1.2380067472014427e-06
15000,0.02383994736644348,0.11817656533650674,0.154401902081689,0.9081876492158016,1.1332777252966259e-06,0.021026484747318417,0.11317540992937998,0.1450051197279545,0.9257667038160432,1.2333105141290115e-06,0.01886921160666799,0.10784086417452353,0.13736524890476481,0.9331213089862272,1.2387971808578521e-06
20000,0.017642278325755496,0.10136702949021814,0.13282423847233416,0.9307908054638654,1.1306446948701226e-06,0.018807921733853337,0.10812027528399783,0.13714197655660842,0.9313216476746303,1.2146161099560828e-06,0.016415124346164305,0.09946549973785176,0.1281215217914785,0.9392031740003669,1.2124305571369667e-06
