n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.10068395240147492,0.25021561376829454,0.3173073469074974,0.5440562349180198,3.7666103387200557e-07,0.23159996623435583,0.3946612005712607,0.4812483415393302,0.21644471067042279,2.1148217618406832e-07,2.701700540293023,1.240351012606781,1.6436850489960122,0.24828119456331815,1.0179984586896571e-06
250,0.15799615644442866,0.2922404882965364,0.39748730350091516,0.5726365060123255,6.526239533534316e-07,0.27449139953850255,0.40322614712878924,0.5239192681496859,0.3010389357244787,3.657733084330208e-07,1.095221514851315,0.8118044466851155,1.0465283153605138,0.33986605677879395,9.14335773283798e-07
500,0.08829805189854788,0.2305596167637662,0.29714988120231156,0.618146115341966,4.5913677412370643e-07,0.29927876181413704,0.42316354129681505,0.5470637639381145,0.3596899080208837,4.871559251015197e-07,0.664335251708766,0.6226759910728464,0.8150676362785888,0.3978856108515951,8.54644029919199e-07
750,0.06841193735769725,0.2019433874736988,0.26155675743076734,0.7253274756418737,5.970600500559965e-07,0.2250707542232411,0.3774648082827085,0.47441622466273337,0.4827335606954751,6.155370414698346e-07,0.379021028992633,0.4745399228340234,0.615646837880804,0.5243227900890092,9.16283264790027e-07
1000,0.07531629490353449,0.21578125975452045,0.27443814403893363,0.6903280657278414,5.510195777616743e-07,0.22271454860438344,0.37079944240910206,0.4719264228715992,0.473268324402406,5.937265068789877e-07,0.29702395685106425,0.42618132896841865,0.5449990429817875,0.5191517064393704,7.989972717355594e-07
1500,0.058069986066029505,0.18089450362456733,0.24097714843119358,0.75950629677294,5.943185786248804e-07,0.15977709848187466,0.3072978812307376,0.3997212759935036,0.5623879572788535,6.36522735088397e-07,0.18456013222079093,0.3247702236152074,0.42960462313712466,0.6060541059683103,7.885125057022655e-07
2000,0.057856560478156585,0.1840799075723221,0.24053390712778228,0.7792201263835274,6.798989505316028e-07,0.1520323023766561,0.3064276767079734,0.3899131985155877,0.635769738840644,7.715796007016591e-07,0.15941096085580655,0.3096395179420012,0.3992630221493177,0.68193308588363,8.998360730255468e-07
2500,0.05313798087280914,0.17316580815490992,0.23051676917918387,0.7995181822529293,7.055944653683742e-07,0.11818814358481174,0.26821408939399344,0.3437850252480636,0.6921201932521244,7.929056843369092e-07,0.11462563329274145,0.26305947086104225,0.3385640756086526,0.7385014569191293,8.963909309402071e-07
3000,0.04594371585645472,0.1626802914889041,0.21434485264744457,0.8330505872027348,7.600029305196171e-07,0.09937818714884374,0.24685824043052676,0.3152430604293197,0.7319008311128623,8.160055383410415e-07,0.09656330944275612,0.23467634342329274,0.31074637478618494,0.7708689500967586,9.085073169278644e-07
3500,0.045804102323617965,0.16372183727952785,0.2140189298254198,0.8176966948083895,6.780839574975637e-07,0.08620990605005692,0.2282177690993468,0.2936152347036116,0.7301709462055594,7.453369708812969e-07,0.07532486911708203,0.2092508384830924,0.27445376498981033,0.7760339716586783,8.125692763958171e-07
5000,0.037767907197796935,0.1508238781911385,0.19433966964517804,0.853445627514817,7.308279481020622e-07,0.06531058033933898,0.2032565427526101,0.25555934797877966,0.802638589512873,8.28891534302459e-07,0.05539835714536371,0.18522857730312697,0.23536855598266246,0.8389452790903376,8.77302880287949e-07
7500,0.0320488684609686,0.13703109965719992,0.1790219775920504,0.8792410359607705,7.768775013925697e-07,0.050299107977181276,0.17767414488228703,0.22427462624465852,0.8454465239621594,8.578668690501045e-07,0.04126841329735292,0.15733544747311598,0.20314628546284796,0.8741059567668625,8.838522813517369e-07
10000,0.026024877740564195,0.12802638798815533,0.16132227912028826,0.8982517768036493,7.599577857314297e-07,0.034637657876014666,0.14876201523112828,0.18611194984743637,0.8786036119936008,8.213670654679755e-07,0.02686738296424208,0.1290455436427403,0.16391272971993995,0.9041964262601665,8.338161832425048e-07
15000,0.02143108178952315,0.1122477263836669,0.1463935852061939,0.9194073671330121,8.137699907662403e-07,0.025988625545887906,0.12595126828768924,0.16120988042265866,0.9127405009553016,8.707037282554204e-07,0.020579632757332753,0.11134540087901375,0.14345603074577504,0.9300148376241855,8.777365123681748e-07
20000,0.019109658274543345,0.10727940336440131,0.1382376876055996,0.925436895333855,7.822971310256092e-07,0.017622238439364415,0.10240194705409078,0.13274877942702304,0.9349789270899193,8.402415782869639e-07,0.014194473765450669,0.09134328041619919,0.11914056305662933,0.9469109436817452,8.417861849442931e-07
