n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_1_mse,bayesian_adaptive_search_1_mae,bayesian_adaptive_search_1_rmse,bayesian_adaptive_search_1_correlation,bayesian_adaptive_search_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.14621398044550502,0.30486341731810523,0.3823793671806901,0.4888864641734781,1.85730074679024e-06,0.14877396200102175,0.2981789491938488,0.3857122787791721,0.43275378768600326,1.515631397049835e-06,0.31046058735991106,0.43635971118354205,0.5571899024209889,0.18101186470840785,8.663083144182776e-07,1.7757767952833932,1.0750448603324385,1.3325827536342323,0.19728268505964916,2.5945967735834936e-06
250,0.06709676219995475,0.20934006040370787,0.25903042717015845,0.7319035635078485,2.4301586960939806e-06,0.062234859376517765,0.19980339530997254,0.24946915516054838,0.7283270290138755,1.7475783948516999e-06,0.2176510195845471,0.3744783072137333,0.46653083454852917,0.476867435051179,2.3748663273759546e-06,0.5672054627947323,0.5894575486444887,0.7531304420847243,0.5018843581220277,4.219849324921458e-06
500,0.07705851069225729,0.220833077088232,0.2775941474387695,0.6798114189437426,2.143550228978087e-06,0.07066685569038281,0.21180156937207953,0.26583238269703485,0.6818104361584169,1.6947075382715493e-06,0.22939527081088337,0.37328168744795565,0.4789522636034654,0.49309363691518593,2.578284071117859e-06,0.37519052245157897,0.47180810512095805,0.6125279768725499,0.5124471429492745,3.5457721340886296e-06
750,0.07164906707152728,0.21574143660846332,0.2676734336304731,0.7155376858271182,2.395815777337925e-06,0.06290097988926087,0.2065468894595519,0.25080067760925384,0.7233286729772088,1.829418351009407e-06,0.19117230877377134,0.338018857077153,0.43723255685478335,0.5311282943741211,2.5941246558294914e-06,0.25863514504809093,0.4018557137046165,0.5085618399448497,0.5486091126721503,3.2313809985526585e-06
1000,0.05599189449124241,0.17880510164156524,0.2366260646911967,0.7852600771075824,2.7333063659404317e-06,0.045656812180037004,0.16117753540790974,0.21367454733785446,0.8090037623519266,2.375244826579173e-06,0.10926088529435993,0.25232810019974544,0.33054634364088786,0.691243418471417,3.030818923347659e-06,0.13339696899883222,0.27653735338205887,0.3652354979993487,0.7112367969640447,3.584155642604436e-06
1500,0.06422502062566064,0.2008441016819525,0.25342655864305275,0.7565605586505223,2.665434230537081e-06,0.057873023292693344,0.1892584617649517,0.240568126094654,0.7589191592122532,2.3530671157369244e-06,0.1269067068724232,0.28457729252674213,0.3562396761625847,0.6442931109727186,2.8565671405942704e-06,0.14315493026791082,0.29947532498079643,0.3783582036482238,0.659188550467521,3.205249613535833e-06
2000,0.042389893763960705,0.16514973527985807,0.20588806124678696,0.8316501108725989,2.7706461378778143e-06,0.03929992000055491,0.14887182452265896,0.19824207424397808,0.8380280187383998,2.5167928384812107e-06,0.08824230503552363,0.22468869649725717,0.2970560637918769,0.7335305444321017,3.0715325023993715e-06,0.09406395302117969,0.23221798864016813,0.3066984724793713,0.747357614573346,3.3401193821440505e-06
2500,0.04048248356932159,0.15653780760780373,0.20120259334641188,0.8406439938214396,2.8347178565617795e-06,0.03537981363351578,0.1457536834045394,0.18809522490886305,0.8556796431087389,2.520348679007809e-06,0.0734762471902546,0.21182598100412475,0.2710650239153967,0.7723841865057536,3.1682799317916077e-06,0.07578132793834981,0.21546393722637844,0.27528408587920555,0.7851379930097484,3.380493793624105e-06
3000,0.03642789876807712,0.14542251987996904,0.19086094091792885,0.8636407371956835,3.079398213610844e-06,0.030472902020985314,0.13583567239326616,0.1745648934378998,0.8769561892445571,2.7322933456040658e-06,0.057111340831868106,0.19022564730394156,0.2389797916809455,0.8233091655257441,3.3536003962892034e-06,0.05450132031218508,0.1868998004171211,0.23345517837945914,0.8421911812187918,3.537225971094099e-06
3500,0.0322770324267576,0.1388617270305651,0.17965809869515373,0.8811970644196678,3.1877050640377274e-06,0.0322770324267576,0.1388617270305651,0.17965809869515373,0.8811970644196678,3.1877050640377274e-06,0.045845227037491776,0.1645416441231252,0.21411498555096925,0.8559225617185092,3.4347850953503468e-06,0.04159522811410328,0.15650524135712296,0.2039490821604826,0.8758339691067067,3.5883853116634995e-06
5000,0.02385978403908629,0.11341186698632452,0.15446612586287742,0.9091551630283191,3.1883345397901188e-06,0.021563525452027166,0.11299460669266798,0.14684524320531178,0.9146346932757495,2.9619683874997846e-06,0.029594559227069935,0.1381849458886433,0.17203069268903715,0.8984914506618122,3.4072412581282684e-06,0.02835814988583058,0.13452307813391115,0.16839878231694724,0.9069975971336386,3.5181205662334725e-06
7500,0.018772348178097337,0.10375431525794516,0.1370122190831801,0.927887025672797,3.2206097647811346e-06,0.01980584694345733,0.11312164313321696,0.140733247470018,0.9260347168196749,3.307218062010586e-06,0.017181020213619513,0.10298616217735534,0.13107639075599967,0.9394174390853451,3.482936379977205e-06,0.01592785693657938,0.09883076020871667,0.12620561372846845,0.9451706477084928,3.5427310786883878e-06
10000,0.017844927773214055,0.10365842292492225,0.1335849084785181,0.9356339582479282,3.425016993411564e-06,0.018648100417283285,0.10490668044659605,0.1365580477939081,0.9331650404928745,3.430554272363419e-06,0.02007312920106156,0.11307920241756288,0.14167967109314433,0.9345941217269098,3.604580187025041e-06,0.017841695412244948,0.10585860848772499,0.1335728094046275,0.9424856902865032,3.638951804633451e-06
15000,0.010182559129312058,0.07913860686171727,0.10090866726556276,0.961258804959937,3.3732300486105103e-06,0.011642826231262204,0.08834596117343338,0.10790192876525519,0.9560085126047387,3.3784472000365493e-06,0.009681721150308253,0.07763822686856975,0.09839573746005592,0.9641604510026959,3.4612053686083297e-06,0.008400113004200231,0.07187698224646344,0.09165213038549748,0.968840618787094,3.4718314701489037e-06
20000,0.012172993302290153,0.08517136947889153,0.11033128886354113,0.9529762615427831,3.2702450770287847e-06,0.011175391971466038,0.08163220229391176,0.10571372650448965,0.956836060044858,3.27904863690774e-06,0.010461202198118753,0.08195983893567112,0.10228001856725855,0.9605495773015469,3.400438293037767e-06,0.009532059657178276,0.07786801093128984,0.097632267499932,0.963975374745728,3.405784851805774e-06
