n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.46050561496186715,0.4888087905189986,0.6786056402372936,0.3101638961732351,1.1792647534665979e-06,0.2721852486801285,0.42037670586768794,0.5217137612524022,0.1859389760903988,4.536638250196568e-07,2.1327019714805644,1.1638456502467314,1.4603773387315226,0.19965324794946412,1.6227301074187883e-06
250,0.3411445438734033,0.43139389555716423,0.5840758031911639,0.4637890732164493,1.6602060711217202e-06,0.3027226608416716,0.4215220189661742,0.5502023817121038,0.3273644778602967,9.798468161557024e-07,0.9365616297890179,0.7285603592383425,0.9677611429423161,0.35020090028603446,1.975293577329255e-06
500,0.2844999361894488,0.39723588118182696,0.5333853543072296,0.49972085203472083,1.6696441259771086e-06,0.24217396117085294,0.37229179628121656,0.49211173646932355,0.4328648141091382,1.238308364753707e-06,0.4201887495637548,0.4970188095390813,0.6482196769334874,0.46322292579521845,1.8481627156660994e-06
750,0.2031647784034566,0.34771500308860565,0.45073803744908925,0.5714069841717416,1.701369926506888e-06,0.1761063359490878,0.32853872071708223,0.41965025431791153,0.546358973699125,1.4525294572727777e-06,0.24162763314608604,0.3900475365455256,0.4915563377132738,0.587208085551798,1.9465189730373754e-06
1000,0.1745067619440931,0.3187480096436054,0.41774006504534983,0.5668284923731073,1.5377300728871825e-06,0.17005667313945008,0.32634569883845066,0.4123792831113732,0.5394309657493349,1.3897745634207337e-06,0.20757520268744278,0.3533444641111649,0.45560421715282967,0.5728414352751894,1.728543609631858e-06
1500,0.12439277720154013,0.27775726394391076,0.3526936024391995,0.6825002906049312,1.7879086286740792e-06,0.11699020860476493,0.267303636874161,0.3420383145274297,0.6560445133944769,1.5840164572540064e-06,0.12640785438651728,0.27580711636740896,0.35553882261507996,0.6875393723626159,1.8315384787789416e-06
2000,0.10495382229925201,0.24646419992690785,0.32396577334535204,0.7317380264675679,1.8959904236595649e-06,0.10916841293455587,0.26135186390771603,0.3304064359762925,0.7072613794819851,1.7936861500803007e-06,0.11475362491054959,0.2645432188301693,0.33875304413473484,0.7358380233296964,2.00951949110798e-06
2500,0.08537957132393732,0.22108730296207774,0.2921978290883376,0.7660795526964027,1.8980196051637157e-06,0.08789437617942698,0.21932357113831966,0.2964698571177633,0.7619903962667921,1.9014922299604255e-06,0.08591516019201977,0.21563053339306984,0.2931128796078735,0.792069354705543,2.073608850444779e-06
3000,0.08007801741226327,0.22088886380425507,0.2829805954694832,0.7790771020775098,1.917600350519899e-06,0.07294161409809588,0.21451327792608946,0.2700770521501149,0.785627665081653,1.8653710548580416e-06,0.06818784950729238,0.20600881768363893,0.2611280327871605,0.8148714235036375,2.0040259453069023e-06
3500,0.07695288321811286,0.21284370981902936,0.2774038269709213,0.7824537758467491,1.8994054692914441e-06,0.07153768152304499,0.20866052595124793,0.26746529031454713,0.7819251005413003,1.8186813031125483e-06,0.06837891195617343,0.20275255153422178,0.26149361742913235,0.8054711908207297,1.93894600386295e-06
5000,0.052936837437628836,0.17864505911745704,0.23008006744963552,0.8421267786925014,1.960874800270543e-06,0.044388086391074874,0.16477676576342426,0.21068480341751009,0.8640288451586113,1.9737712388143503e-06,0.03997496327052344,0.15695983746588593,0.19993739837890118,0.8832423799232054,2.052731553671161e-06
7500,0.03876945899801416,0.15002914333484474,0.1968996165512116,0.8669303979244647,1.8543704564283422e-06,0.034120138678184905,0.13835633110196846,0.18471637360609078,0.8851761355570293,1.9127059941465666e-06,0.03005531273446228,0.12888869343720516,0.1733646813352197,0.9007217779175365,1.9614737018958487e-06
10000,0.031389418839304344,0.1366466628621626,0.17717059247884323,0.9010012415418852,2.0085424965807367e-06,0.027811016856469018,0.12754862821317567,0.16676635408999327,0.9112882213104931,2.0142464544043556e-06,0.022819031828723167,0.11648551942982534,0.15105969624199292,0.9277506160886637,2.0456779439361322e-06
15000,0.01917700968795241,0.11025474722400273,0.13848108061375175,0.9316304387430953,1.9321038738038733e-06,0.016980199301449065,0.10005529226025149,0.13030809376799687,0.9406196051887409,1.9703212639084845e-06,0.014667937568035803,0.09295653766539035,0.12111126111157378,0.9487878994080292,1.9856596252895488e-06
20000,0.01628088433505509,0.09986224739563274,0.12759656866489433,0.9393685602636322,1.8863475456324802e-06,0.013793217097629425,0.09063595066723155,0.11744452774663205,0.949567072152032,1.933727844896694e-06,0.01186384286180855,0.08372841991676266,0.1089212690974933,0.9563224175316477,1.9372489451346256e-06
35000,0.01048732360721937,0.08152943848177506,0.102407634516277,0.9613540055211464,1.945577305282141e-06,0.007163534972281028,0.06420111038031855,0.08463766875499956,0.9744631851205379,2.004425283885716e-06,0.0059385981469992554,0.058774523543301344,0.07706230042633853,0.978567464223304,1.998901637248498e-06
50000,0.00939089919126615,0.07746873477590757,0.09690665194539615,0.9645128221073298,1.9087472535044333e-06,0.004661150463227794,0.053574877570625706,0.06827261869320521,0.9828320163746594,1.985163572879597e-06,0.0039478395026002425,0.04909492951445931,0.06283183510450926,0.9852878020681121,1.9753486535011608e-06
