n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.11242435647735087,0.25734076443396736,0.3352974149577519,0.5914338050408842,2.169007695371837e-06,0.11271559763171572,0.2651913381102244,0.33573143676414297,0.4035147966394511,7.605104531610288e-07,0.2698621690568555,0.40151131166505927,0.5194825974533271,0.3040268859658728,1.468403403905201e-06,1.7819248030516173,1.0463189647932356,1.3348875619510496,0.31620205087051606,4.307993414621574e-06
250,0.09506567438800695,0.24449287215762472,0.30832721966768833,0.5801245384942592,1.6745347685346804e-06,0.09400896252241527,0.24153722635124575,0.3066088102491761,0.5533850527349745,8.11056026756027e-07,0.30005168353593226,0.43436770678923153,0.5477697358707692,0.35604181203886887,1.9315666380435982e-06,0.7751591718122712,0.7032876414272545,0.8804312419560492,0.36925511055866334,3.393066539538639e-06
500,0.07056593921055508,0.20979161965069906,0.26564250264322364,0.7056829643635961,2.205616707698539e-06,0.08046717475610964,0.22855657331313012,0.28366736639259305,0.637781514368624,1.1422813941580397e-06,0.2339774267142164,0.3785741812324565,0.48371213207259584,0.47720767862490154,2.4848205973464775e-06,0.3759589264869245,0.4779420681308398,0.6131548959984945,0.4984343018997033,3.4191549721962808e-06
750,0.060414238367590155,0.18905588092060518,0.2457930803899698,0.7537598182668969,2.430995322534969e-06,0.061169686618467105,0.202610187456277,0.24732506265736012,0.7637643063001013,1.4716110321857906e-06,0.18248574959578728,0.3261842189884297,0.4271835081037039,0.5462514965876187,2.6403530551066226e-06,0.24513449620860972,0.38113736072969095,0.49511058987726136,0.566280108070277,3.2960807378191816e-06
1000,0.053479837965281274,0.17739555629115253,0.23125708197865266,0.7869993026831829,2.6186072232318954e-06,0.05460910677035825,0.18144572225690914,0.2336859147881152,0.7688156620649207,1.8900801348941043e-06,0.10899259862740235,0.25177745690623987,0.3301402711385001,0.6887415325934659,3.001691921208801e-06,0.1321662192082181,0.27510375222179906,0.3635467221805446,0.7094143325548101,3.549581793106061e-06
1500,0.048427296755663304,0.17373799487007904,0.22006202933641983,0.8073689137273069,2.688175746933805e-06,0.048466523470334005,0.1745780748962928,0.22015113779023265,0.8119346923156106,1.8557141677048315e-06,0.10212939366783665,0.25860143389699036,0.3195768978944452,0.6854123798087821,2.8479947008864343e-06,0.11072020327735244,0.263303643198232,0.33274645494332833,0.7049898036326194,3.191552156972847e-06
2000,0.04715953748231971,0.1621939365366928,0.2171624679412161,0.8188650165013286,2.8455262473902e-06,0.05002631929486592,0.17462570865948812,0.2236656417397762,0.795128549470675,1.927614882936969e-06,0.09016130859445179,0.22777369348225046,0.3002687273001499,0.7339726696759025,3.116947858530245e-06,0.09576321080858624,0.23568548601799505,0.30945631486299685,0.749294251575989,3.3932895706619205e-06
2500,0.04467521797964225,0.16983915676955483,0.21136512952623537,0.8271770554886454,2.8515380966890323e-06,0.03837248542141194,0.15143146356738676,0.1958889619693053,0.8423139490249486,2.5574122765352316e-06,0.07129527989158478,0.21122719018641198,0.2670117598376236,0.7829933488326779,3.2409534572371066e-06,0.0742394870972352,0.21641849766152876,0.2724692406442151,0.794685363645906,3.4591621818081954e-06
3000,0.0381710733873363,0.1465737001320992,0.19537418812969204,0.8570484009117266,3.0546338749346037e-06,0.045076769365571576,0.1604476718547871,0.2123129043783528,0.8168971408939145,2.0776370851978326e-06,0.05761613127903738,0.19404878671482811,0.2400336044787008,0.8231347407940458,3.3676830746613216e-06,0.055312257449983256,0.1903653746673647,0.2351855808717517,0.840958705228845,3.545500609385631e-06
3500,0.041303610276858346,0.15760384654863674,0.20323289664042665,0.848015601369076,3.0700759891540233e-06,0.03896179272649454,0.1573820107746544,0.19738741785254332,0.8443542079022267,2.241012983322064e-06,0.04948155037035734,0.16982526817709795,0.22244448828945468,0.8420853689416634,3.359266463067123e-06,0.046169722661413476,0.16411389645819402,0.21487140959516574,0.8597642064321462,3.5089677229314607e-06
