n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.21669013583620697,0.3828146916599431,0.46549987737507187,0.0674976762046655,7.475132632048635e-08,0.28885982717662706,0.4348162877074198,0.5374568142433651,0.11070994458725553,1.6925071254389897e-07,2.677601784960254,1.2927825854895232,1.6363379189398055,0.1262493543009616,7.210390347914266e-07
250,0.11730533712290853,0.2820937792325449,0.34249866733012047,0.45379584007861545,4.418233336086141e-07,0.27386926679791784,0.4113360750416388,0.5233252017607387,0.24769030080078927,4.1198176136533304e-07,0.9464052195263334,0.7439382182399052,0.972833603205776,0.2680221715933706,9.37007438321418e-07
500,0.10390603454317478,0.253346332172411,0.3223445897532248,0.5702266540324177,6.568276625029689e-07,0.2504365172622731,0.3859203149234094,0.5004363268811259,0.3907171496296057,6.997020396608048e-07,0.4938263893249674,0.5422585460560149,0.7027278202298294,0.4248714268767173,1.1458455778614985e-06
750,0.08137969299328292,0.22236264812443052,0.2852712621230588,0.6445114398839819,6.793215111789717e-07,0.24658006511344338,0.3822884775622544,0.4965682884694142,0.398582172810022,7.12051575971337e-07,0.38344442799943473,0.4674629845060812,0.619228897904026,0.42284435688788874,9.97506444983874e-07
1000,0.07457995528740233,0.20813921676738859,0.2730933087561874,0.6797523394448758,7.344273523818339e-07,0.2029577575061273,0.3455533234972238,0.45050833233817916,0.4908747098360235,8.527344806322265e-07,0.2662597685467302,0.38553765214670654,0.5160036516796468,0.5236606120167877,1.098734817831457e-06
1500,0.0634063446158234,0.1969924601534079,0.25180616476929907,0.7522226851002095,9.243753894376742e-07,0.14427328494006758,0.290886403907976,0.3798332330642852,0.6318083635907367,1.0652279221070229e-06,0.1726419534194072,0.31532352124066254,0.41550204983779226,0.6597116509080557,1.2684852887839023e-06
2000,0.05467218675688908,0.18019779813727524,0.23382084329009054,0.7912117360048745,9.96011184058107e-07,0.11688636687879021,0.272401334467879,0.3418864824452558,0.6850473342393991,1.1093337355957877e-06,0.12917573961831647,0.280069267747688,0.35941026643421925,0.7116592312268191,1.2661960472851947e-06
2500,0.050512622386637424,0.17174163248863383,0.22475013322940973,0.8015415005313309,9.78556366087958e-07,0.11152688419359422,0.25588400407796097,0.3339564106191019,0.6897480633555069,1.0955487851221425e-06,0.11418370580762255,0.25776621587527176,0.33791079563639653,0.7188379178673584,1.2143590500508864e-06
3000,0.0455630036947735,0.1618305370275331,0.21345492192679347,0.8185830454953538,9.823197370773326e-07,0.08694837823223912,0.22621746540923476,0.2948701039987593,0.7301291783400787,1.0789488376897597e-06,0.08593653039724145,0.2233138541433814,0.293149331224278,0.7556989813313829,1.1722441224923222e-06
3500,0.038541150694671567,0.1489897384899513,0.19631900237794497,0.8535657255371788,1.079897693669546e-06,0.07281577063792283,0.21152022622162667,0.2698439746185244,0.794774725666314,1.2283705326670313e-06,0.06960570953257364,0.20817514793656652,0.2638289399072316,0.8201925557168492,1.3131073079234983e-06
5000,0.042969853880827046,0.1568832878615153,0.2072917120408509,0.8371023079593608,1.061346830251679e-06,0.06393683828734496,0.1939228192544432,0.2528573477028994,0.8035068468311668,1.1826070228558035e-06,0.05737783456705691,0.1829387163765754,0.2395367081828105,0.8296545450050165,1.2376548514981814e-06
7500,0.028530790976322256,0.12941338779710013,0.1689106005445551,0.8902181262576057,1.1119662574642653e-06,0.03894799405419363,0.15559278158319653,0.19735246148501323,0.8710147452498326,1.214492869547177e-06,0.03542131010681842,0.1461470533009053,0.18820549967208297,0.8851651732474609,1.2449989449005666e-06
10000,0.02375621954713739,0.11794614969504394,0.15413052762881657,0.9072149090625348,1.1128456788886524e-06,0.0286427462839979,0.13063156507819923,0.16924168010273916,0.8995901801294879,1.2080149899942422e-06,0.024840640382457327,0.1212431843727678,0.15760913800429632,0.9130276934839029,1.2246722517106765e-06
15000,0.021365273532167512,0.11172841622120824,0.1461686475690581,0.917433273707708,1.1402653962816397e-06,0.02030079506784899,0.1095436471937794,0.1424808586015995,0.9282048553299135,1.2348416313121807e-06,0.01800862854006948,0.10341279521936973,0.13419623146746515,0.9360250352947631,1.2404198869230247e-06
20000,0.018007964038412653,0.10059040683925471,0.1341937555865125,0.9293774542803144,1.1299717512874242e-06,0.01844547219617888,0.10789340387026737,0.13581410897318025,0.9329834874577754,1.2205467193784253e-06,0.01609863034879313,0.09862382189114641,0.12688037810785846,0.9406580769773597,1.2181585129595264e-06
35000,0.011668755634761224,0.08125751549888054,0.10802201458388574,0.9546812714327252,1.1759885955728823e-06,0.008775698580344151,0.07167391550512545,0.09367869864779373,0.9682354096310373,1.261524056356015e-06,0.007673975664666343,0.06617840713744137,0.08760123095405876,0.9716283024146665,1.25129502345782e-06
50000,0.012387628022666021,0.08292712127801921,0.1112997215749708,0.9516160304659982,1.158198957847164e-06,0.006891762506875584,0.06433732868369225,0.08301663993968669,0.9746973063660318,1.2589494735459563e-06,0.0060252262277897825,0.058994604926076145,0.07762233072891964,0.9772880455303159,1.2430568033022575e-06
