n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.4357257411889057,0.4605308721243387,0.6600952516030589,0.47264382749134903,3.4338978548500517e-06,0.11907889612528956,0.27579220498030116,0.3450781014861557,0.5673109518210379,2.08101584980766e-06,0.08448507034011767,0.22799283946792442,0.2906631561449054,0.6042632216754399,1.4454674752359559e-06,0.2609719140462433,0.39023191201282165,0.5108541025050531,0.3471990219076052,1.707012396036746e-06,1.769305693733893,1.04664740572942,1.3301525076974794,0.3614998947251175,4.971166826718626e-06
250,0.2680152102934023,0.3948491148946955,0.5177018546358534,0.5085585744116754,2.9465320127570477e-06,0.0907761407817737,0.23986053905485946,0.3012907910669918,0.6139196743880652,1.8794792360485143e-06,0.08485293385670695,0.22843924796721118,0.2912952691972648,0.5995987379409276,1.3774946740011167e-06,0.26201562042715065,0.41666433594684715,0.5118746139702092,0.38112714956079013,1.940120661560794e-06,0.6424358856163139,0.634593967220957,0.8015209826425719,0.4018604588152833,3.4117863081994546e-06
500,0.18865439322723246,0.3318364580576932,0.4343436349565082,0.6027581465875427,3.1716698750853493e-06,0.06826508891482155,0.1876400536690439,0.2612758865927385,0.7213675149840322,2.327897997332225e-06,0.06728616885098074,0.195180070498632,0.2593957764709764,0.7004925674244873,1.7967368693059978e-06,0.22346868577735168,0.36950765426747906,0.47272474631369965,0.4890107078527788,2.506818315053863e-06,0.3617267712546884,0.46870085593007815,0.6014372546281851,0.5083399910228615,3.4435944259209988e-06
750,0.16384206195950898,0.3097391163796794,0.40477408755935573,0.6426692887874974,3.287740610888816e-06,0.07534027640996598,0.2193463762558747,0.2744818325681428,0.7078062553895943,2.43475851944041e-06,0.06500284102443327,0.20146184108179677,0.2549565473260753,0.717918260537198,2.0444497889186573e-06,0.160100758136707,0.319474570424635,0.4001259278486049,0.5715495790208359,2.6311231528618715e-06,0.21722479126888075,0.3683287160210139,0.4660738045297984,0.590083907069289,3.3004491728337204e-06
1000,0.15663302449290645,0.3071273500686865,0.39576890288766553,0.659820081424023,3.368361438690576e-06,0.060649534327797794,0.19712536043702755,0.24627126167662722,0.7796859664197519,2.8563785644555958e-06,0.05399295362733931,0.18449925790955943,0.23236383889783563,0.7710156063109943,2.2610555606013773e-06,0.12695449776914894,0.2775885001643841,0.3563067467353782,0.6712336342565238,3.107097988906168e-06,0.15804715725776644,0.3089316548761017,0.3975514523401549,0.6904250673470254,3.6776501321027776e-06
1500,0.14069141331840962,0.29692468885384476,0.3750885406386199,0.6472778361144407,3.065100693801859e-06,0.06926659321352689,0.1932189772729845,0.263185473029054,0.7485970435334717,2.745506153887752e-06,0.05556838895600928,0.18907253596075355,0.23572948257697696,0.7658660927977442,2.304716832302115e-06,0.12623795818447917,0.2862118856819224,0.3552998145010481,0.6459110630401197,2.8618864493360573e-06,0.14165043311604864,0.30066983574199535,0.3763647607256139,0.6625827003726288,3.2184375291087493e-06
2000,0.08273983854429069,0.23329429783466338,0.2876453346471844,0.7750399831844124,3.419927260891125e-06,0.04594781884056619,0.15706114562766224,0.2143544234219723,0.8279738443037556,2.9520217812694907e-06,0.030826194253030445,0.13902614144234837,0.17557389969192586,0.8760319983899078,2.6008886592840982e-06,0.08390212178935788,0.2259258292631005,0.2896586297512261,0.7636853949079739,3.3146302457546135e-06,0.09179622870613455,0.23374403068625943,0.3029789245246846,0.774995120184627,3.6028585532038687e-06
2500,0.07987736356233319,0.22232094331839414,0.2826258366857729,0.7872341326419826,3.4998400216008112e-06,0.04597559401267137,0.165002701514527,0.21441920159507957,0.8280715473665556,2.955599271824198e-06,0.03719787623598219,0.1516103814036116,0.19286750953953388,0.8473799853880734,2.547288995358496e-06,0.0725779227737782,0.21301184674949994,0.26940290045539267,0.7846666198567411,3.2952167248101467e-06,0.07573417768033665,0.21683359055086593,0.27519843328103566,0.7964241478857407,3.5156933214252418e-06
3000,0.06377779959289814,0.20226415704190617,0.252542668855974,0.8138930781971397,3.4291338192837335e-06,0.033316864085480305,0.14245025754525595,0.18252907736982704,0.8718361336288374,3.023590309493127e-06,0.035199850621872385,0.15039260027006526,0.18761623229846713,0.8577001031200996,2.7424749607038194e-06,0.05716843423638182,0.19022564730394156,0.23909921421113417,0.8233375148503275,3.355885334170772e-06,0.05457884371162673,0.18690088430442253,0.233621154246842,0.8421869422383889,3.5396541031332347e-06
3500,0.0532836233006054,0.18046142313842067,0.23083245720783158,0.8323999124165163,3.3536938190267145e-06,0.0385548775131842,0.1563604132464235,0.19635395975936976,0.8563305440741745,3.066022534773688e-06,0.038982297055138615,0.15443322743438195,0.19743935032089885,0.8525371129313384,3.0095620189000373e-06,0.052643941843671244,0.1751917360497266,0.2294426765962933,0.8307666681129687,3.3060244161210485e-06,0.04926184963498054,0.170661898855868,0.22195010618375594,0.8488422746247886,3.4553438523579354e-06
