n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance
100,0.17330533970449138,0.3270114149422034,0.4162995792749392,0.479659483033489,1.8439908189012896e-07,0.20642852369016387,0.36847070687637756,0.45434405871559924,0.18134816176902085,5.482609717088172e-08
250,0.10844012955656301,0.2603094271208137,0.3293024894478677,0.5613081577813248,1.657995129521089e-07,0.25376972727463626,0.39784556546176,0.50375562257372,0.255323579353292,1.0082640973016627e-07
500,0.09730965724890353,0.24525453088454152,0.31194495868486727,0.6144598410908061,1.8576473395322659e-07,0.28855800923460345,0.42906962561413553,0.5371759574241977,0.30900306405323924,1.4063658698146501e-07
750,0.09610648172170196,0.24101347302803158,0.3100104542135667,0.615313598600325,1.8389144457929304e-07,0.2882185289908302,0.42749539894012384,0.5368598783582456,0.3406211719809925,1.5924545716514992e-07
1000,0.06847665661693562,0.195149554153642,0.2616804475250981,0.7315117929144324,2.2358536881131998e-07,0.2782716560032871,0.4147199745220592,0.527514602644597,0.4043766066699903,1.955585432978218e-07
1500,0.06338911985954929,0.19258914597536142,0.25177196003437174,0.7480050192564783,2.249752037549886e-07,0.2233914491485352,0.36752019782451645,0.4726430462289012,0.4966462970572192,2.2974497922013526e-07
2000,0.05658914730980662,0.18233709665721284,0.23788473534425578,0.7824478867261643,2.442141026725638e-07,0.1941312615344815,0.3426984752633631,0.44060329269591425,0.5279413734985936,2.3224553892799584e-07
2500,0.057254023269483416,0.18456264791352084,0.23927812952604635,0.7727825740333817,2.3280195755648696e-07,0.17601167175107094,0.3271368760452995,0.4195374497599361,0.5735295070538713,2.5112561871187114e-07
3000,0.048507789308127186,0.1713496542796391,0.22024483945856071,0.8057189070277255,2.395993711579061e-07,0.14125080739461207,0.2955909765283942,0.37583348359960167,0.6125933850334043,2.4753780621624374e-07
3500,0.04262504678190407,0.15424109968768274,0.20645834151688827,0.833692116232411,2.560437151541017e-07,0.12380397551540223,0.2788797233056873,0.35185789108019483,0.6661237696671606,2.699112034951527e-07
5000,0.041765759941847974,0.15276838618428223,0.2043667290481696,0.8390951449637893,2.613096698956965e-07,0.10379574505310378,0.2511729017652055,0.32217347043650846,0.7238484912357205,2.925073784092165e-07
7500,0.04183670580827115,0.1550346881785114,0.20454023029289656,0.8414911952060741,2.6645693525714445e-07,0.07937201877895356,0.22172017448891657,0.28173040087813306,0.7620871916861466,2.859253180672174e-07
10000,0.03074213509415028,0.13716076998106416,0.17533435229341193,0.8772933506541841,2.6044964191481157e-07,0.05634032995549397,0.1874425775058661,0.23736118038865153,0.8153407630031668,2.877821416392465e-07
