n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.4874064587067261,0.46380736473457407,0.6981450126633622,0.45797749362336854,8.696397456448321e-07,0.23815054041465528,0.3931748075881886,0.4880067011985135,0.18486900393020492,1.788191229833563e-07,2.6319544636988033,1.2574990737671583,1.6223299490852048,0.21789736292089568,8.757752958814047e-07
250,0.36326709529969126,0.4478631729048818,0.6027164302552994,0.39311369246947203,6.126465043695145e-07,0.27074386971813436,0.3960129327993545,0.5203305389059288,0.23830727480446598,2.7033342295641427e-07,0.9977058352849684,0.782293283564004,0.9988522589877686,0.2730098174282574,6.831600576446562e-07
500,0.27783884722317637,0.38493496260519383,0.5271042090736673,0.5549764576911633,8.500671615825358e-07,0.2808229712943345,0.41198875592679596,0.5299273264272513,0.3869875291479209,5.158423196402608e-07,0.6103648935262169,0.588392566638753,0.7812585318101921,0.4325599938230111,9.061804784561135e-07
750,0.21460078288447143,0.3498184443997164,0.4632502378676901,0.5619021644751,7.563682396606233e-07,0.21944276331887,0.37117128086512063,0.468447183062157,0.4679513056240038,5.784095959558379e-07,0.3541045321841088,0.4632786328521614,0.5950668300150066,0.512352696375175,8.58329723151712e-07
1000,0.20561354107262805,0.33936185126802665,0.45344629348207055,0.5497024959929642,7.132982244655835e-07,0.2316178340143122,0.3765102778694259,0.48126690517249593,0.4540178040717932,5.721272283174728e-07,0.30946996987975756,0.43715721651782274,0.5563002515546416,0.4979768665346874,7.699099295121126e-07
1500,0.16902096319197166,0.3059456849490365,0.41112159173652224,0.594429166547148,7.262064505506181e-07,0.16340543652849462,0.3143526513105189,0.40423438315968946,0.5553660082003081,6.316899561987581e-07,0.18952801224083432,0.33090279171693576,0.4353481506114782,0.5977400040759223,7.815490775700022e-07
2000,0.148049129956967,0.28716128881907105,0.38477152955613414,0.667475687954393,8.329709118693684e-07,0.15369097587655378,0.3039798138907006,0.39203440649585053,0.6372772700487211,7.796502571921605e-07,0.16210958970453365,0.30964854245281564,0.40262835183893053,0.6864134529015844,9.181136572947433e-07
2500,0.11162918747892568,0.24060797569670067,0.3341095441302533,0.7176145040219875,8.310046311690849e-07,0.12117529957320135,0.27459516976253484,0.3481024268418727,0.6852386312503003,7.872961746889888e-07,0.11980764039012927,0.2683375717559045,0.34613240297627335,0.7287529796126972,8.905583466920188e-07
3000,0.08932582093802602,0.22299607192694845,0.2988742560643623,0.7558529136115092,8.326109241416126e-07,0.09810470418709946,0.24909579986238897,0.3132167048340485,0.7306775556656702,8.069643537493946e-07,0.09641650973343964,0.23694174047838684,0.3105100799224393,0.7675308981922307,8.986238550108539e-07
3500,0.07835754685521766,0.20597241010517336,0.2799241805475505,0.7402069218055011,7.261493449499503e-07,0.09151017469354288,0.23260177946981087,0.30250648702720884,0.720177804046327,7.470036646943827e-07,0.07702137592025715,0.20967821646931842,0.2775272525721702,0.7730029302125856,8.139180264702497e-07
5000,0.059553733614592944,0.18747164941933903,0.24403633666852348,0.8199380834110851,8.437391858405156e-07,0.06723661636890703,0.20557091237345618,0.25930024367305754,0.8064591749976904,8.545213196938884e-07,0.05798384179120191,0.18797144823239356,0.240798342584001,0.8407967283278542,9.034111943930079e-07
7500,0.05024319245006853,0.1725150796767378,0.22414993296913682,0.8384545985014609,8.306763245328736e-07,0.05016622773737822,0.17578575538013866,0.22397818585160972,0.8456521452668664,8.574372264643784e-07,0.04181081098641012,0.16125317380557944,0.2044769204248003,0.8727885425298606,8.83997590589068e-07
10000,0.033593772513078705,0.1408274349447999,0.18328604014784844,0.8824967965183267,8.257955985360001e-07,0.033377782588046634,0.14670635087974693,0.1826958745786194,0.8861185553314201,8.417734366365876e-07,0.026446021178452694,0.12787490092049578,0.16262232681416378,0.9087346445501271,8.546155539379514e-07
15000,0.02629074265749968,0.12266946315805449,0.16214420328059737,0.905246120890224,8.286883711833327e-07,0.025845843843021486,0.1255103890403748,0.16076642635519858,0.9126398241282234,8.675780442951893e-07,0.020313364262195894,0.11096957268390753,0.14252496013749977,0.9304161517870722,8.748030974117849e-07
20000,0.02222969627251553,0.11386278771349231,0.1490962651192696,0.9153598386887866,8.004571630740465e-07,0.01697012526739055,0.10349393351560597,0.13026943335790844,0.937628327747614,8.448685132617255e-07,0.013820906555761459,0.09299040302049,0.11756235177879634,0.948544496489785,8.462345388477339e-07
