n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.6169593281281399,0.5609849622309956,0.7854675856635587,0.37913522622968615,3.1174072103108345e-06,0.1441537962659044,0.29613485741017687,0.37967590951481817,0.5043677377511415,1.943262249350956e-06,0.1064592088964013,0.2547658195476492,0.32628087424242525,0.5469560899500155,1.6819483779468274e-06,0.29251517057936766,0.40800017833970426,0.5408467163433348,0.29058097642012887,1.4656170993261702e-06,1.9082309728505635,1.032884575474393,1.3813873362857223,0.30515754995917815,4.286948941213143e-06
250,0.30019302678680926,0.42753647109333703,0.5478987377123707,0.45969785641889077,2.7195033245333107e-06,0.1190202539267753,0.27607413900828826,0.3449931215644383,0.5396551901520537,1.862356198367446e-06,0.09874753685261128,0.25239422175783843,0.3142412080752798,0.5746730223139537,1.7319405056566498e-06,0.22881617189925707,0.38429762981332494,0.4783473339522831,0.37013285103700144,1.700104825225341e-06,0.5111232307588408,0.5856253178147452,0.7149288291563299,0.39590788192522086,2.980811666862137e-06
500,0.23294508136353578,0.3728699418994973,0.4826438452560395,0.5238833141391617,2.8495458334787626e-06,0.07347710340290489,0.2113491998056497,0.2710666032599828,0.6921710508042149,2.151316559580742e-06,0.06380453298830806,0.1950674204717724,0.252595591783206,0.719500205139384,1.7305670229819003e-06,0.2258650704356957,0.38121959972284986,0.4752526385362797,0.47287683248384993,2.3995123750178344e-06,0.36591402174829035,0.48544219943829336,0.6049082754833912,0.49177759450035224,3.3119795318856015e-06
750,0.18313859949300387,0.33709483110418736,0.42794695873788363,0.5616881110108175,2.7717316753326636e-06,0.07504291374000485,0.21228617496932675,0.2739396169596593,0.6984100736713204,2.304180063170002e-06,0.06110672166787677,0.19709257568370064,0.2471977379910196,0.7331752534892788,1.822209443062286e-06,0.19195144174720818,0.33606635251197087,0.4381226332286523,0.5267855696839518,2.566277172988489e-06,0.25919890406543905,0.39924391645123725,0.5091158061437879,0.5441641559610972,3.1961794798028807e-06
1000,0.14976051579175426,0.302819247309009,0.38698903833539555,0.6270225654800357,2.9910635712731005e-06,0.07185475492195517,0.20794149217081434,0.2680573724446973,0.7170746698138516,2.424745081898499e-06,0.05624422289295881,0.18381902323252064,0.23715864498887407,0.7579354089622878,2.100880219715737e-06,0.1686133078816818,0.3168219792766292,0.41062550807479287,0.5764923441638181,2.7579481859654203e-06,0.20092921815554043,0.3448921873595095,0.4482512890729266,0.601783900187789,3.2708290367316175e-06
1500,0.11650681979573803,0.2669156708393072,0.34133095346853326,0.6530244901686436,2.78267680686235e-06,0.049548712193216556,0.17331982454801273,0.22259540020678,0.8071407798906111,2.763287320145542e-06,0.05200413228320801,0.17790217466720834,0.2280441454701436,0.7790341498733685,2.229883878683205e-06,0.10837833426216353,0.262601442585136,0.32920864852273174,0.668541973473647,2.795241225761284e-06,0.11592520482969085,0.26882115606036694,0.3404779065221279,0.6913863908736964,3.139168805436116e-06
2000,0.08897572389763632,0.22856682230552688,0.2982879881886569,0.7660036482759135,3.4467065034541803e-06,0.04388064370256528,0.15617737894410444,0.20947707202117677,0.8332958263637127,2.929069430676329e-06,0.0336130757243422,0.13832643060831484,0.18333869129112434,0.8637512207679247,2.7184442938630776e-06,0.08679552090608103,0.2253310559105818,0.29461079563736464,0.7583315555953859,3.3158182408701444e-06,0.09573634122413502,0.23542421303364774,0.3094128976370168,0.768902662737256,3.6080832323981093e-06
2500,0.07839849914952726,0.2180183688087622,0.2799973198970434,0.7781283303184646,3.358643169448694e-06,0.038698148935695946,0.15568873489946813,0.19671845092846768,0.8500937270458617,2.9250913447734128e-06,0.03333255682711991,0.14882672271068303,0.18257205927282494,0.8654776242960089,2.5121859553271477e-06,0.07030537204494958,0.20936980547525155,0.2651516020033626,0.7878988104663314,3.2755901736247883e-06,0.07141623285927634,0.21012517671584355,0.26723815756601144,0.8030943602979363,3.493723584611116e-06
3000,0.06476992393656328,0.19224368260799848,0.2544993594030509,0.8083315579682918,3.384252118328951e-06,0.0430367002223458,0.15623146796921192,0.20745288675346457,0.839714971021498,3.008239084331134e-06,0.03359675146665073,0.1418914047492347,0.18329416648287183,0.8654331423932187,2.8231903957655114e-06,0.0577119848319603,0.19416232891541135,0.24023318844814157,0.8221709454643062,3.357260960038248e-06,0.05521526896692721,0.19054296654108996,0.23497929476217091,0.8403938329744752,3.534409753165637e-06
3500,0.05368941532431786,0.18137952263602977,0.231709765276127,0.8334509072694904,3.383514529302486e-06,0.034295471691997266,0.1430696420021907,0.18519036608851247,0.8710738213775154,3.093532286689114e-06,0.028893184764489533,0.13386775386359256,0.16997995400778743,0.8856208411075126,2.9439701863373785e-06,0.04619888327755493,0.16903885108961333,0.21493925485484247,0.8461341305927781,3.2891909783323417e-06,0.04441146967650154,0.16496653348466264,0.21074028963750985,0.8599381222278332,3.441503943468105e-06
