n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.1261226141742022,0.2718094890126447,0.35513745814008724,0.44355284099730646,4.711744107384589e-07,0.2574358221114746,0.4166304369415197,0.5073813379613745,0.13949578543466487,1.9882309734714755e-07,2.3657454465257435,1.2444023914204014,1.5380979963987156,0.15068276546036555,8.125181165275884e-07
250,0.09454698639279137,0.2555202178007284,0.30748493685511064,0.5494008401098279,4.87816131358425e-07,0.2777241915560531,0.4131430936049192,0.5269954378892222,0.3029008719997288,5.3533116000543e-07,0.9471652731761857,0.7646544494391471,0.973224163888354,0.3361269327496175,1.2078460203631471e-06
500,0.09900783284818553,0.24590068741040697,0.3146551014177039,0.5800328326687771,6.459432995036366e-07,0.2755215722871342,0.41786746046159595,0.5249014881738613,0.3447851513142328,6.295433652880599e-07,0.5484265548842215,0.5855116350745405,0.7405582724433112,0.3684254230270707,1.0161851815337875e-06
750,0.0976169828778513,0.24452713026278003,0.3124371662876414,0.6210818663174664,7.689436006390386e-07,0.233479204360947,0.3755921135074106,0.4831968588069949,0.4483507140066822,8.127963917458377e-07,0.36627642361127666,0.456657738694561,0.6052077524381827,0.4773094952808133,1.1415375831622048e-06
1000,0.05941670061367936,0.1930747982688751,0.2437554114551703,0.7540252635098559,8.580757829719937e-07,0.1847427700814824,0.34302718540423577,0.42981713563035434,0.5087601415301896,8.498127279775831e-07,0.2405338436066904,0.3823110947519036,0.4904424977575765,0.5509340814006968,1.1224579345494539e-06
1500,0.05769178198765673,0.19011711927841762,0.24019113636364006,0.771428893652474,9.328687544467079e-07,0.1474230077914785,0.2953638094329907,0.3839570389919665,0.62814536544077,1.0669065675741963e-06,0.1776684266274596,0.3215946217895332,0.42150732689653164,0.6545571927949286,1.2691721963182527e-06
2000,0.05359097663779349,0.17793324750816483,0.23149724974131655,0.7931240817146462,9.874656094700594e-07,0.1268363590750865,0.27789285515005185,0.3561409258637464,0.6586405293410547,1.0718590033725229e-06,0.13819474962241954,0.2825319453473202,0.3717455441863689,0.6876317492089371,1.224021020401578e-06
2500,0.051241890812196954,0.16919254519924656,0.22636671754521898,0.8028729985211266,1.003199063808304e-06,0.10673436229538931,0.24831217542948053,0.3267022532756536,0.7099822232740772,1.1392421445108411e-06,0.10949852670109358,0.2483365701918193,0.3309056160011395,0.7385592406017886,1.26071316898639e-06
3000,0.04547659979894027,0.1652506442843268,0.21325243210556888,0.8155745419842362,9.525710778574059e-07,0.08283355298499365,0.22258830712518216,0.28780818783522066,0.7381274378914605,1.0770747131687327e-06,0.08009527535134184,0.21768636491900478,0.28301108697600846,0.7659711981997578,1.1677982814523227e-06
3500,0.04290766264342778,0.15703449929410854,0.20714164874169508,0.8430400621923436,1.102599099786357e-06,0.07823402807599594,0.22234910865689916,0.2797034645405665,0.7838110843400012,1.2271838811302914e-06,0.07787943919340093,0.2199160612663713,0.27906887894102583,0.8060314303154525,1.3191116943521574e-06
5000,0.03961763357517761,0.15291545113139887,0.19904178851481819,0.844540073081904,1.0318384067088999e-06,0.060713076664879254,0.19470209463311047,0.24640023673868347,0.8024347552674116,1.1416582998766484e-06,0.054397371917208434,0.1832564551052485,0.2332324418197615,0.8283894945119405,1.1960730829262033e-06
7500,0.02777867401222402,0.12284972852330721,0.16666935534831837,0.8906441169709399,1.0814384858834205e-06,0.03536839167121809,0.1478842192342843,0.18806486027755978,0.8788062952757477,1.199782589094688e-06,0.031414687941997234,0.13690669925627566,0.17724189104722743,0.8940870295960339,1.229150988493356e-06
10000,0.02634251152351902,0.12290300861599249,0.1623037631218667,0.8969614968953624,1.098598314798215e-06,0.02905653589476577,0.1320527040887999,0.17045977793827424,0.8983919089511807,1.2084154467207014e-06,0.024886969131056175,0.12098122200132747,0.1577560430888661,0.91296455172768,1.2254077406830587e-06
15000,0.020430689429577587,0.10820885100279914,0.14293596268811284,0.9212019937516664,1.147542525362327e-06,0.02081782019880797,0.1129284059149651,0.14428381821537706,0.9264304204621777,1.2333613177884076e-06,0.018734280054658044,0.10751854605190263,0.13687322621556797,0.9335693717626625,1.2389786614570047e-06
20000,0.01928684328946785,0.1070435558699598,0.1388770797844909,0.9239942513749984,1.1138708084691608e-06,0.018498748906211233,0.10732552909824523,0.13601010589736057,0.9327628561178722,1.2199747920109704e-06,0.01614541185969545,0.0983756528727481,0.12706459719251248,0.9404624560659869,1.2176041826653053e-06
35000,0.013653478226892484,0.08850334025485265,0.11684809894428101,0.9468741783226274,1.1640923457038273e-06,0.008816581623073892,0.071139217677966,0.09389665395036126,0.9682062411910948,1.2637294221091271e-06,0.007677846323018219,0.06610386854295511,0.0876233206573354,0.9716938333995291,1.253274823039669e-06
50000,0.013195685546783326,0.08618252892354186,0.11487247514867661,0.9485490330035141,1.1610998273045572e-06,0.006536695890386574,0.06374423856468688,0.08084983543821579,0.9758038777211759,1.2548116871519564e-06,0.005749030064234004,0.05878719788326894,0.07582235860373907,0.9782108064503604,1.2393525323328652e-06
