n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.11602637292187297,0.27347473729297483,0.34062644190061486,0.42892558396929104,2.569106705133201e-07,0.2531909063272836,0.40224116094120266,0.5031807889091987,0.19797651388715456,2.0469009269139684e-07,3.333170324220627,1.3266322195673819,1.8256972159207088,0.2172050452519323,9.819981913048975e-07
250,0.11808728687962264,0.2674089889967735,0.3436383082248291,0.588930102228582,5.591657573455447e-07,0.2742022624986297,0.39955092175099766,0.5236432588114066,0.3179647312737481,3.921287263490377e-07,1.125320568593826,0.8215582150814701,1.0608112785004813,0.3590270866587574,9.857921212790468e-07
500,0.0766803218545804,0.2181753274673664,0.27691211937107485,0.663669694548777,4.7343547012736317e-07,0.25658591655999374,0.39273235380559174,0.5065431043455174,0.40271895837858634,5.146260836144952e-07,0.5803606504423732,0.5770145670193807,0.7618140524054234,0.44059274457881636,9.039550894504245e-07
750,0.06499622690816557,0.19935622315770715,0.2549435759303724,0.7291235753527139,5.672975089008666e-07,0.23054849742551622,0.37611308422408585,0.48015465990190725,0.4903196640444622,6.391978110657976e-07,0.3922984365272691,0.48763663797233553,0.6263373184852306,0.5350975926486887,9.57907404532549e-07
1000,0.05953391421618196,0.1894542252987004,0.2439957258153961,0.740602341688,4.737674626754393e-07,0.21428331454035654,0.36572653278672984,0.46290745785778453,0.4865033176680469,6.043651577481065e-07,0.2693147857137003,0.4141832044190477,0.5189554756563421,0.5422436907209395,8.085490545869893e-07
1500,0.05363057032709324,0.1762369058251989,0.2315827504955696,0.7710347628674883,5.46826653805414e-07,0.1663954005004081,0.31195299876527577,0.40791592332294174,0.5686753250830852,6.659533722448914e-07,0.19201096832100548,0.32705221813117674,0.43819056165212583,0.6133168342928934,8.215524307861165e-07
2000,0.049373852904178554,0.17149297288227394,0.2222022792506381,0.7925795098460608,5.879570600717268e-07,0.14923776461974667,0.30024795187392134,0.38631303967086933,0.6243984173441027,7.382910668292432e-07,0.1511372589597376,0.3035471964684389,0.38876375726106155,0.6750164508886267,8.598426990391277e-07
2500,0.0397192146746648,0.15405504312583426,0.1992968004626888,0.8360635997165881,6.269329813756461e-07,0.11788985159066848,0.26964776864353446,0.34335091610576557,0.6799299530962934,7.622983943384283e-07,0.1168511982983478,0.2687581313541274,0.341835045450796,0.7221763485013781,8.627860143652691e-07
3000,0.04265436791222696,0.15749487563484565,0.20652933910761193,0.8288133754629692,6.776680380771358e-07,0.09612754351769501,0.24181619569735816,0.3100444218457978,0.7444611908943874,8.344836311052464e-07,0.09604018088350154,0.23487084725498736,0.3099035025350658,0.7775012063223307,9.245936626713136e-07
3500,0.03898704306713969,0.1492301063813533,0.1974513688662089,0.8402122802445565,6.503921269335781e-07,0.08517475228589905,0.22520333844982354,0.29184713856040984,0.7342893750809288,7.50835144724465e-07,0.0739971435442849,0.20945007435038107,0.272024159854019,0.7812493293083569,8.199971709649328e-07
5000,0.03131084913901764,0.14075675447556538,0.17694871895274528,0.8744068658301672,7.065748883184596e-07,0.06690452016832879,0.20296853855246258,0.25865908097016194,0.8090877645654988,8.607006692461907e-07,0.05808855870816035,0.1855309743238696,0.2410156814569549,0.8421081861515565,9.086704244223051e-07
7500,0.027114005677050152,0.1280816225715712,0.16466331005129878,0.8918063248147995,7.23134163777484e-07,0.049399989324745354,0.1765572632871208,0.2222610836938067,0.8465397144094601,8.537592970766779e-07,0.041061732624340756,0.1601884648529558,0.2026369478262559,0.8737004147549166,8.799640045545701e-07
10000,0.021369144651398362,0.11046843217994264,0.14618188893087394,0.9153620909853525,7.341235236406543e-07,0.03364624427322617,0.147187248849575,0.18342912602208564,0.8851224829490141,8.405921472303935e-07,0.026354159098448886,0.12818375944502372,0.16233964117999303,0.9087606795915154,8.530570942980813e-07
15000,0.01878435426336055,0.10618283363406912,0.1370560260016339,0.9268941797676998,7.871295655342731e-07,0.025950427988972458,0.12555408592788464,0.16109136534579518,0.9125564256924699,8.689321443151272e-07,0.020542876868477868,0.1113614231705824,0.14332786494076394,0.9299540018690952,8.765215060666835e-07
20000,0.02133616265509723,0.11031809033965163,0.14606903386788464,0.9155446189251885,7.43333213049587e-07,0.01735550208857,0.103644234931606,0.13174028271022498,0.9362260400665562,8.438090492722421e-07,0.01399836492764824,0.09288093186950988,0.1183146860184662,0.9478654575681819,8.454221411780447e-07
