n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_1_mse,bayesian_adaptive_search_1_mae,bayesian_adaptive_search_1_rmse,bayesian_adaptive_search_1_correlation,bayesian_adaptive_search_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.1251363622866747,0.2910960483742532,0.35374618342347486,0.3633426184960164,8.286112713350995e-07,0.10952022412333114,0.26768751656284673,0.3309383992880414,0.4182656602411244,7.223554605114801e-07,0.2898182095648708,0.42791086769305864,0.5383476660717225,0.18470517743891798,8.422447748721029e-07,1.6449405375829196,1.0243278358958927,1.2825523527649543,0.19159508577953566,2.4190985161225644e-06
250,0.09027386261588634,0.2428688288392654,0.30045609099481796,0.5994886909691035,1.7077989148040512e-06,0.08910083854581993,0.2389161304017208,0.2984976357457793,0.5828222197411789,1.449242114788255e-06,0.230655022347367,0.38412282582686164,0.48026557480977855,0.37297120853137905,1.7281150590953765e-06,0.5139557457708698,0.5811879323654784,0.7169070691316063,0.40053425170401946,3.0323463074581785e-06
500,0.06837692983972908,0.2034054989463416,0.2614898274115631,0.7096472832181062,2.1445899480876846e-06,0.06339980392167607,0.19750291700395378,0.2517931768767297,0.723606664700308,1.6792899977198008e-06,0.22510973362241185,0.3808107005661961,0.4744573043198006,0.47486465067331557,2.409599133381221e-06,0.35873902040156136,0.4802969843063026,0.5989482618737293,0.4967963877553073,3.323905928225936e-06
750,0.08194813687854044,0.22169908336229238,0.2862658500040486,0.6757445752457867,2.2730637378108167e-06,0.06208428168354375,0.19855534816062828,0.249167176176044,0.7279516512225995,1.8069526822602654e-06,0.1909843716676683,0.3375854814537645,0.4370175873665364,0.5286995440795921,2.5733770977921436e-06,0.26078130075486267,0.40114686737487204,0.5106675050900171,0.5442605287443839,3.2072370432167915e-06
1000,0.05658039302092784,0.1917031513474752,0.23786633435803362,0.7947311503618082,2.9140171670895425e-06,0.04975406280555407,0.17390242180269594,0.2230561875527197,0.7963194507701279,2.5322510311978447e-06,0.1296180954899388,0.27587777914523753,0.3600251317476862,0.6823259395917245,3.249614476887522e-06,0.166917304716111,0.31090714508107964,0.40855514280952454,0.6988497395919379,3.858311232483924e-06
1500,0.05394373244080136,0.17504950749369472,0.23225790070695412,0.784832515890377,2.6063779598069597e-06,0.04384860025778953,0.16101781498466913,0.20940057368066003,0.8178709885406419,2.2524073549316456e-06,0.09561143080879611,0.24081136963322045,0.30921098106114553,0.7016426374053147,2.88628493158144e-06,0.10551329075027295,0.2499308427244946,0.3248280941517728,0.7174905081675962,3.23168627303903e-06
2000,0.04442623436003459,0.16103487671416336,0.2107753172457216,0.826568162302127,2.818865638855146e-06,0.03725489472152422,0.14995855581309775,0.19301527069515567,0.8471105382225403,2.5375712162124425e-06,0.08716499458162964,0.229840542673953,0.2952371836026581,0.7423257563734836,3.145120314127124e-06,0.09085787067182582,0.2339904600482888,0.30142639345589134,0.7605577847938347,3.423129546202319e-06
2500,0.03915394156927022,0.155626576410806,0.19787354944324978,0.8518145386055792,3.0055415382611313e-06,0.0354694202698646,0.14984528606502176,0.18833326915302193,0.8552323448689352,2.524684845304687e-06,0.07006615326699435,0.20677150275560294,0.2647001195069514,0.7891797593151998,3.2852099480085957e-06,0.07110504297762772,0.20549351973891042,0.2666552886736502,0.8046216287343383,3.505013835164753e-06
3000,0.0452227072333984,0.16136599008323022,0.21265631247014136,0.8389978849454333,3.1190565993774562e-06,0.03604137244323234,0.15151837112162903,0.18984565426480624,0.8654599549291865,3.093640879572359e-06,0.06468976926118232,0.2050698500530164,0.2543418354521771,0.8121278088816404,3.4316846510379124e-06,0.06409972862208511,0.20211608865791167,0.2531792420837165,0.8267080047786802,3.606583132740556e-06
3500,0.035309798295556756,0.14606524778489183,0.18790901600390747,0.8680433662790163,3.0996956495922488e-06,0.03286456135162592,0.1411158052129396,0.18128585535453648,0.8670282555080907,2.738647091271692e-06,0.048474061729124884,0.16761371329620411,0.22016825776919996,0.8449279892988746,3.364366893918072e-06,0.045714295317521636,0.16281081824173432,0.21380901598744997,0.8613977098358558,3.517329809658564e-06
5000,0.028375524998137835,0.1312931900875964,0.16845036360345986,0.8939508581931599,3.1915566601929634e-06,0.02633462918498251,0.12818036023640356,0.1622794786317189,0.8978170290411527,3.0789387253138647e-06,0.030036608547882215,0.14084220969623407,0.1733107283115567,0.8985944681431477,3.438597937961923e-06,0.02901790812814101,0.137766012837732,0.1703464356191259,0.90651426653068,3.5477816806078937e-06
7500,0.018348143963826544,0.10533231739466935,0.1354553209136745,0.9301552732957227,3.2625974138682415e-06,0.017874044881897085,0.10511012357707317,0.13369384758431138,0.9308934750701695,3.2018771114130114e-06,0.016921004093088065,0.1048972514537086,0.13008075988818663,0.9405459120568092,3.4930606270807545e-06,0.015802234719070513,0.10071490847559146,0.12570693982064202,0.9458759952717911,3.553045802245964e-06
