n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.455455966325103,0.4902887532121127,0.6748747782552723,0.30544320510604533,2.0457824193327944e-06,0.1335123543253109,0.29082269071439826,0.3653934240312911,0.44895690091196133,1.441299019313919e-06,0.1335123543253109,0.29082269071439826,0.3653934240312911,0.44895690091196133,1.441299019313919e-06,0.2981196777658016,0.4189909492600076,0.5460033679070135,0.1718035707950286,7.913313912007223e-07,1.7060563696733637,1.053085373214147,1.3061609279385766,0.1784096093547176,2.2863879524791604e-06
250,0.29804731933239603,0.4125252012394043,0.5459371019928908,0.34609146161309795,1.8539826618875227e-06,0.10938395262047779,0.2694035256387183,0.3307324486960386,0.4698943538477694,1.1480947030469822e-06,0.09918555466410446,0.2535573013017793,0.31493738213191597,0.5356035575738598,1.382195614947001e-06,0.3038705994564116,0.44570976633756904,0.5512445913171499,0.27966263267324737,1.4337560145330275e-06,0.7285891657640445,0.6839963129716152,0.853574346945856,0.29095784346997183,2.4987295365344866e-06
500,0.2420534556649367,0.3635113687651294,0.49198928409563625,0.5813174290095093,3.4086447940533867e-06,0.06538216118874315,0.19213102051719122,0.25569935703623337,0.7426365654131849,2.5111848110232467e-06,0.06291985695125683,0.1915017251687653,0.2508383083806316,0.7479043175531264,2.4729912328353467e-06,0.20025570669561968,0.3541396400560795,0.4474993929555879,0.5295860674532812,2.6554370420037637e-06,0.3276611840878554,0.4592423630420733,0.5724169669811119,0.5495557891688266,3.651523437329497e-06
750,0.1761766092642117,0.318581574805462,0.41973397439832255,0.6273220851935793,3.2736613559293597e-06,0.07154480833117134,0.2122547331473626,0.26747861284815155,0.7263128402530535,2.5350619441191277e-06,0.06320750609147867,0.19022091467228208,0.25141103017067223,0.7528617522523163,2.565546780323055e-06,0.19677272439668825,0.3405165525614717,0.44359071721203575,0.5428790937276086,2.7344665027817395e-06,0.2636231747983075,0.39819019665129685,0.513442474672974,0.5655825146444251,3.41494255247935e-06
1000,0.12542566400311023,0.2764860063441954,0.35415485878794634,0.6914004603288237,3.279408520165345e-06,0.04793949135722604,0.16765551060065334,0.21895088800282597,0.8139764695847778,2.7964550606030128e-06,0.045608133540647716,0.1610015363761438,0.21356060858839984,0.8166508144369045,2.6733610765253056e-06,0.10835526817151635,0.25165467442998596,0.32917361402687845,0.6914305868805137,3.0174716461362768e-06,0.1324439299878477,0.27586738905211405,0.3639284682294691,0.7111510664940567,3.5706641396095554e-06
1500,0.14718048921578086,0.29400803362696126,0.3836410942740374,0.6235478017021936,2.9303163850184198e-06,0.06690093665654935,0.19837114499495248,0.2586521537829317,0.7441316015949732,2.597794890234604e-06,0.06690093665654935,0.19837114499495248,0.2586521537829317,0.7441316015949732,2.597794890234604e-06,0.12481505167113814,0.2885959332147673,0.35329173733776753,0.6440694446330536,2.8249150555191807e-06,0.13915193011235666,0.30188499484739384,0.3730307361496592,0.6610803066346883,3.173250712752362e-06
2000,0.0756445666725234,0.21032035883238592,0.27503557346736696,0.789025387686871,3.424100623078617e-06,0.04849676874557176,0.16669540995593843,0.22021981914798622,0.8180626598064722,2.911180397159283e-06,0.04461923342791911,0.15855695398505265,0.21123265237154767,0.8243578165132981,2.781805375525116e-06,0.08343140146917234,0.21474973452952528,0.28884494364480806,0.7557032533276483,3.2132772910410206e-06,0.08894663857783261,0.221528337766936,0.2982392304473585,0.7700453556923511,3.491659267980632e-06
2500,0.06933149685435842,0.2010011601606262,0.26330874815387056,0.7904876071753943,3.2817920927886412e-06,0.04401508964566984,0.16162992888783925,0.20979773508231644,0.8319433469708457,2.9092298983727435e-06,0.04196808385091127,0.15697834316215317,0.20486113308998188,0.8433939469679482,3.016087682016348e-06,0.07323096126938024,0.2087110907608875,0.27061219719255125,0.7814221901099588,3.272217723984485e-06,0.07343502207673283,0.20550915113294366,0.27098897039682784,0.798814522542671,3.4902931571195802e-06
3000,0.07113691289200262,0.20756120749477738,0.2667150406182648,0.8090375687661566,3.560919936226948e-06,0.03704182605781255,0.1480141761405753,0.1924625315686473,0.8608236873421442,3.0587206354371364e-06,0.035876768272261376,0.14604081103502886,0.18941163710886766,0.8671763350501765,3.1223725826471334e-06,0.05881570282552244,0.19231593617704346,0.2425194895787191,0.8217457370535579,3.3867086798792794e-06,0.05687105619990031,0.19004099794025484,0.23847653175920752,0.8391417870495732,3.5682825162205025e-06
3500,0.052550321015896205,0.17785070885235277,0.22923856790665964,0.8395184216517014,3.4330984680891987e-06,0.033804306760199944,0.1401472486881397,0.18385947557904092,0.8717923021935271,3.069596352429128e-06,0.03468539061855392,0.1444076184899863,0.18624014233927635,0.868455614436197,3.057963520087541e-06,0.04946887734649667,0.1686709641489056,0.22241600065304806,0.8411536695817478,3.3442474077945646e-06,0.04649568494607869,0.16369408020243698,0.2156285810046495,0.8580665375374313,3.4946498608939298e-06
